,ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,total_share,float_share,free_share,total_mv,circ_mv,code
0,002408.SZ,20191118,7.23,0.5271,1.2542,0.39,15.2267,19.1763,1.6895,0.4596,0.353,177520.9253,173912.0321,73082.0739,1283476.2899,1257383.9921,002408
1,603208.SH,20191118,54.42,5.5927,5.5927,0.8,28.8014,19.5836,3.5742,3.4282,2.5031,8081.6061,3081.6061,3081.6061,439801.004,167701.004,603208
2,002401.SZ,20191118,11.07,0.6813,1.3677,0.54,40.3518,38.947,3.6031,3.4252,3.1574,30324.0,30216.7026,15051.3359,335686.68,334498.8978,002401
3,600644.SH,20191118,5.48,0.6407,1.7449,1.86,36.4726,27.0687,1.9368,1.3594,1.3649,53840.0659,53840.0659,19770.2085,295043.5611,295043.5611,600644
4,600160.SH,20191118,6.83,0.3864,0.7148,1.46,8.7103,13.4862,1.4439,1.1976,1.2506,274516.6103,274516.6103,148394.3112,1874948.4483,1874948.4483,600160
5,600617.SH,20191118,4.92,0.0777,0.2354,0.61,116.6704,115.2379,1.4113,0.4791,0.4478,108466.3692,97491.4344,32198.1812,533654.5365,479657.8572,600617
6,600382.SH,20191118,6.62,0.3604,0.4839,1.02,10.3506,9.5281,0.6974,5.5915,3.2861,60687.2165,44427.058,33084.8035,401749.3732,294107.124,600382
7,603725.SH,20191118,7.13,0.314,0.3419,0.66,29.8833,121.7485,1.8232,1.5327,1.7283,20535.2,13156.2654,12084.6899,146415.976,93804.1723,603725
8,300689.SZ,20191118,37.24,3.7894,3.7894,0.95,46.1951,50.2935,4.3341,7.1307,7.0466,6800.0,1904.0,1904.0,253232.0,70904.96,300689
9,002046.SZ,20191118,6.75,0.4649,0.7428,1.13,154.5121,203.1504,1.3158,1.7132,1.7351,52434.9078,40869.9325,25577.5327,353935.6277,275872.0444,002046
10,603608.SH,20191118,6.1,0.4235,0.8703,0.45,10.8652,11.5673,1.241,1.2822,1.2562,43140.2167,31660.4085,15407.3558,263155.3219,193128.4919,603608
11,603223.SH,20191118,6.02,0.1707,0.3852,0.42,36.0974,,1.6595,0.2812,0.2347,28224.0,28224.0,12506.8598,169908.48,169908.48,603223
12,600267.SH,20191118,10.51,1.2069,2.0876,0.66,,13.4336,1.3642,0.9961,0.9489,96553.1842,96553.1842,55822.3345,1014773.9659,1014773.9659,600267
13,000043.SZ,20191118,22.19,1.0191,2.0924,0.91,17.2772,90.0907,3.0982,2.2237,2.2545,66696.1416,66679.3416,32476.4536,1479987.3821,1479614.5901,000043
14,603303.SH,20191118,10.09,5.1758,5.1758,0.74,19.8885,17.7086,1.9038,1.2317,1.1599,48771.5366,12051.5366,12051.5366,492104.8043,121600.0043,603303
15,600381.SH,20191118,5.1,0.217,0.5107,0.69,43.7421,,1.2717,8.9905,12.089,58706.0741,58706.0741,24948.2701,299400.9779,299400.9779,600381
16,002707.SZ,20191118,5.15,2.0562,2.425,0.42,192.1171,,1.9783,0.372,0.3672,87911.5016,53090.002,45015.8225,452744.2332,273413.5103,002707
17,000603.SZ,20191118,11.81,1.6143,3.037,0.82,19.7898,16.3273,3.7785,3.3927,2.8341,68996.9346,58651.2974,31175.5136,814853.7976,692671.8223,000603
18,002205.SZ,20191118,22.73,0.6565,0.9406,0.94,789.0688,271.7,2.8174,3.3455,3.2554,11615.2018,11615.2018,8106.5068,264013.5369,264013.5369,002205
19,002113.SZ,20191118,1.73,1.4608,1.7967,0.95,,164.7653,1.0999,5.0497,4.2299,153269.293,92376.8017,75104.8018,265155.8769,159811.8669,002113
20,600980.SH,20191118,12.88,1.3201,2.2001,0.8,59.0142,58.5548,3.2948,4.2322,4.0804,15520.988,15220.988,9132.5928,199910.3254,196046.3254,600980
21,300199.SZ,20191118,5.48,0.9042,1.1321,0.94,,,1.6436,3.9739,5.4844,91692.704,59871.7742,47820.1959,502476.0179,328097.3226,300199
22,600203.SH,20191118,5.73,0.7752,1.1217,0.79,62.7871,47.2936,1.2528,0.238,0.2149,45644.712,44638.6493,30847.5283,261544.1998,255779.4605,600203
23,000852.SZ,20191118,6.08,1.1324,2.7444,2.12,349.2955,55.8118,2.6042,0.9612,0.7084,77760.4997,77760.4997,32084.8697,472783.8382,472783.8382,000852
24,002390.SZ,20191118,5.63,0.5551,0.8237,0.86,,,1.923,1.4265,1.428,166722.8611,159573.1746,107535.8817,938649.708,898396.973,002390
25,300708.SZ,20191118,13.23,2.7178,2.8676,1.02,168.7943,29.3028,4.5814,6.1545,3.5532,25991.0,8748.12,8291.12,343860.93,115737.6276,300708
26,600126.SH,20191118,5.15,0.4621,1.6433,0.96,8.976,15.0754,0.9162,0.6576,0.6638,337718.9083,337718.9083,94970.2693,1739252.3777,1739252.3777,600126
27,601228.SH,20191118,3.75,0.1909,0.1909,0.8,32.3143,31.4785,1.7713,2.6872,2.4232,619318.0,144318.0,144318.0,2322442.5,541192.5,601228
28,002170.SZ,20191118,2.97,0.3618,0.4799,0.81,285.1294,188.0895,1.3882,1.1498,1.1663,88686.2627,69322.0702,52265.3825,263398.2002,205886.5485,002170
29,300075.SZ,20191118,11.15,1.5029,1.658,0.68,40.5854,38.9756,2.051,3.6903,3.3426,42655.2605,32173.0312,29162.7608,475606.1546,358729.2979,300075
30,300796.SZ,20191118,22.57,0.1842,0.1842,,35.0774,34.1621,2.7719,5.8775,5.1652,12115.0,3030.0,3030.0,273435.55,68387.1,300796
31,601688.SH,20191118,17.15,0.6307,1.0707,0.99,30.9304,22.258,1.2978,9.6636,7.2949,907665.0,735760.432,433396.0197,15566454.75,12618291.4088,601688
32,300251.SZ,20191118,9.82,1.2971,4.1101,1.67,20.9773,146.0336,3.0766,19.3144,10.8016,293360.8432,278384.1404,87854.4616,2880803.4802,2733732.2587,300251
33,300454.SZ,20191118,122.72,0.8293,1.2149,1.67,82.0022,82.0127,13.1743,15.3421,12.5136,40311.2,21030.344,14354.7335,4946990.464,2580843.8157,300454
34,600309.SH,20191118,45.7,0.5548,0.5548,0.89,13.5232,15.1219,3.5568,2.3669,2.269,313974.6626,142375.642,142375.642,14348642.0808,6506566.8394,600309
35,600095.SH,20191118,7.76,3.6852,4.3914,1.18,185.2068,138.836,3.3172,9.3633,5.3873,36126.3565,36126.3565,30316.9257,280340.5264,280340.5264,600095
36,002033.SZ,20191118,5.86,0.3653,0.6641,0.88,16.8032,18.559,1.2695,4.7463,4.7577,54949.0711,54948.0181,30220.5046,322001.5566,321995.3861,002033
37,002856.SZ,20191118,18.33,2.4639,2.4639,0.73,84.044,124.9636,3.2686,2.3304,2.4498,12160.8,3040.8,3040.8,222907.464,55737.864,002856
38,600754.SH,20191118,23.46,0.4602,1.5041,1.75,20.7612,20.7359,1.727,1.5291,1.4959,95793.644,80193.644,24535.676,2247318.8882,1881342.8882,600754
39,600277.SH,20191118,3.96,0.9075,1.7425,1.87,14.0728,10.9119,0.7112,0.6244,0.7745,273894.0149,267400.5085,139258.8682,1084620.299,1058906.0137,600277
40,300240.SZ,20191118,6.31,1.3122,2.7826,0.55,156.0254,,2.0953,0.7212,0.7196,36555.975,36503.5204,17214.3101,230668.2023,230337.2137,300240
41,300116.SZ,20191118,1.58,0.8715,1.0748,0.76,,,,0.9615,4.3313,243252.4564,196945.487,159693.4765,384338.8811,311173.8695,300116
42,300365.SZ,20191118,12.84,0.7217,0.9473,0.82,28.6382,26.7145,4.0079,6.5705,6.7513,60583.8969,34351.9893,26170.425,777897.2362,441079.5426,300365
43,600035.SH,20191118,3.3,0.1304,0.3252,0.53,12.5712,11.8551,0.8684,1.8195,1.9993,169292.7321,152531.8247,61156.8693,558666.0159,503355.0215,600035
44,002336.SZ,20191118,4.74,0.2362,0.7849,1.71,,,1.5963,0.2565,0.2696,44000.0,37317.5,11232.09,208560.0,176884.95,002336
45,600847.SH,20191118,10.28,0.3068,0.3981,1.19,,,2.3085,2.7126,2.7599,15328.74,15328.74,11812.6594,157579.4472,157579.4472,600847
46,000415.SZ,20191118,3.44,0.349,0.6745,0.95,9.3338,11.0528,0.5535,0.5152,0.5571,618452.1282,354739.6604,183555.9804,2127475.321,1220304.4318,000415
47,300192.SZ,20191118,15.83,5.7427,7.6084,0.52,137.1197,64.67,4.7786,4.0017,4.063,24255.0,17236.4189,13009.8019,383956.65,272852.5112,300192
48,300693.SZ,20191118,13.19,4.7782,5.2924,1.57,37.2318,40.1897,2.8199,3.3977,3.2576,13685.0329,7042.047,6357.7971,180505.584,92884.5999,300693
49,002151.SZ,20191118,20.85,0.4235,0.5752,0.61,95.7729,182.7408,2.6118,3.348,3.5711,48992.5027,36147.3456,26614.6385,1021493.6813,753672.1558,002151
50,300393.SZ,20191118,14.15,6.4042,8.3896,1.84,40.4118,23.7981,1.9148,1.8878,1.509,35911.9079,17379.714,13266.7716,508153.4968,245922.9531,300393
51,002859.SZ,20191118,30.78,0.6478,0.7436,0.74,28.8985,47.6873,5.0269,6.0679,8.2446,25847.0,10846.2253,9448.979,795570.66,333846.8147,002859
