name code cost share bottom
baili 600468 1 0 4.03
guangdian 600831 9.875 100 4.38
hanzhong 002158 14.118 100 6.35
jinneng 603113 21.477 100 10.6
jinqinye 600821 6.453 100 3.78
lingnan 000524 8.944 100 6.06
luoping 002114 24.509 100 5.89
ruihe 002620 1 0 5.32
sanwei 002115 26.611 100 6.80
shenzhou 000018 3.855 0 1.7
taihua 600281 1 0 3.17
wuchangyu 600275 1 0 1.85
wujiang 603323 8.454 100 5.56
wuxi 600908 1 0 4.82
xiangyang 000678 15.764 100 4.4
yaxing 601890 39.276 100 3.22
yong-an 000663 1 0 5.52
zhongbing 000519 81.241 100 5.77
