code		name		
SZ000063	中兴通讯	
SZ000801	四川九洲	
SZ000823	超声电子	
SZ002017	东信和平	
SZ002049	紫光国芯	
SZ002052	同洲电子	
SZ002089	新 海 宜	
SZ002093	国脉科技	
SZ002115	三维通信	
SZ002123	梦网集团	
SZ002138	顺络电子	
SZ002148	北纬科技	
SZ002194	武汉凡谷	
SZ002231	奥维通信	
SZ002261	拓维信息	
SZ002281	光迅科技	
SZ002298	中电鑫龙	
SZ002313	日海通讯	
SZ002316	键桥通讯	
SZ002364	中恒电气	
SZ002384	东山精密	
SZ002396	星网锐捷	
SZ002417	三元达		
SZ002446	盛路通信	
SZ002544	杰赛科技	
SZ002547	春兴精工	
SZ002579	中京电子	
SZ002792	通宇通讯	
SZ002837	英维克		
SZ002881	美格智能	
SZ002886	沃特股份	
SZ002897	意华股份	
SZ002902	铭普光磁	
SZ300002	神州泰岳	
SZ300025	华星创业	
SZ300038	梅泰诺		
SZ300047	天源迪科	
SZ300050	世纪鼎利	
SZ300068	南都电源	
SZ300077	国民技术	
SZ300098	高新兴		
SZ300115	长盈精密	
SZ300134	大富科技	
SZ300136	信维通信	
SZ300166	东方国信	
SZ300250	初灵信息	
SZ300252	金信诺		
SZ300288	朗玛信息	
SZ300292	吴通控股	
SZ300299	富春股份	
SZ300308	中际旭创	
SZ300310	宜通世纪	
SZ300312	邦讯技术	
SZ300322	硕贝德		
SZ300328	宜安科技	
SZ300353	东土科技	
SZ300366	创意信息	
SZ300394	天孚通信	
SZ300414	中光防雷	
SZ300496	中科创达	
SZ300502	新易盛		
SZ300513	恒泰实达	
SZ300548	博创科技	
SZ300560	中富通		
SZ300563	神宇股份	
SZ300565	科信技术	
SZ300570	太辰光		
SZ300578	会畅通讯	
SZ300590	移为通信	
SZ300593	新雷能		
SZ300597	吉大通信	
SZ300608	思特奇		
SZ300615	欣天科技	
SZ300638	广和通		
SH600050	中国联通	
SH600198	大唐电信	
SH600289	ST信通		
SH600345	长江通信	
SH600460	士兰微		
SH600485	信威集团	
SH600487	亨通光电	
SH600498	烽火通信	
SH600522	中天科技	
SH600666	奥瑞德		
SH600745	闻泰科技	
SH600776	东方通信	
SH601137	博威合金	
SH603042	华脉科技	
SH603083	剑桥科技	
SH603118	共进股份	
SH603322	超讯通信	
SH603559	中通国脉	
SH603602	纵横通信	
SH603912	佳力图		

