代码		名称		
SH600409	三友化工	
SH603329	上海雅仕	
SH600621	华鑫股份	
SH600018	上港集团	
SH603128	华贸物流	
SH600822	上海物贸	
SH600119	长江投资	
SH600848	上海临港	
SH603003	龙宇燃油	
SH600643	爱建集团	
SH600826	兰生股份	
SH600146	商赢环球	
SH600648	外高桥		
SZ002162	悦心健康	
SH600705	中航资本	
SH600675	中华企业	
SH600637	东方明珠	
SH600026	中远海能	
SH600687	刚泰控股	
SZ002183	怡 亚 通	
SZ300013	新宁物流	
SH600009	上海机场	
SH600639	浦东金桥	
SZ002244	滨江集团	
SH600606	绿地控股	
SH601866	中远海发	
SH600679	上海凤凰	
SH600676	交运股份	
SH600827	百联股份	
SH600278	东方创业	
SH600663	陆家嘴		
SH600626	申达股份	
SH600650	锦江投资	
SH600836	界龙实业	
SH600651	飞乐音响	
SH600708	光明地产	
SH600630	龙头股份	
SH603009	北特科技	
SH600641	万业企业	
SZ300012	华测检测	
SH600284	浦东建设	
SH600115	东方航空	
SH600895	张江高科	
SH600689	上海三毛	
SZ300226	上海钢联	
SZ300055	万邦达		
SZ002210	飞马国际	
SZ002451	摩恩电气	

