code		name		
SH601360	三六零		
SZ300738	奥飞数据	
SH600767	*ST运盛		
SH600654	*ST中安		
SZ300249	依米康		
SH603003	龙宇燃油	
SH600225	*ST松江		
SZ300212	易华录		
SZ002093	国脉科技	
SZ000100	TCL 集团	
SH600589	广东榕泰	
SH600037	歌华有线	
SH600590	泰豪科技	
SH600996	贵广网络	
SZ000063	中兴通讯	
SH603019	中科曙光	
SZ000665	湖北广电	
SZ002415	海康威视	
SH603528	多伦科技	
SH600633	浙数文化	
SZ000971	高升控股	
SZ000806	银河生物	
SZ300235	方直科技	
SZ300369	绿盟科技	
SZ002268	卫 士 通	
SZ300383	光环新网	
SZ300365	恒华科技	
SZ002089	新 海 宜	
SZ300431	暴风集团	
SZ002315	焦点科技	
SZ300085	银之杰		
SZ000007	全新好		
SH600536	中国软件	
SZ002463	沪电股份	
SZ300052	中青宝		
SZ002837	英维克		
SZ000948	南天信息	
SZ300078	思创医惠	
SZ300297	蓝盾股份	
SZ000555	神州信息	
SZ300311	任子行		
SH600797	浙大网新	
SZ002368	太极股份	
SZ002197	证通电子	
SH603138	海量数据	
SH600770	综艺股份	
SH600850	华东电脑	
SZ002396	星网锐捷	
SH600756	浪潮软件	
SZ300020	银江股份	
SZ300367	东方网力	
SZ300245	天玑科技	
SZ002642	荣之联		
SZ300730	科创信息	
SH600718	东软集团	
SH600100	同方股份	
SZ000977	浪潮信息	
SZ002417	深南股份	
SH600845	宝信软件	
SZ002065	东华软件	
SZ002456	欧菲科技	
SZ300379	东方通		
SH600602	云赛智联	
SH603881	数据港		
SZ002281	光迅科技	
SZ300287	飞利信		
SZ300044	赛为智能	
SH600588	用友网络	
SZ300366	创意信息	
SZ300025	华星创业	
SZ002439	启明星辰	
SH600410	华胜天成	
SZ000938	紫光股份	
SZ300017	网宿科技	
SZ300274	阳光电源	
SZ300229	拓尔思		
SZ300051	三五互联	
SZ300168	万达信息	
SH600728	佳都科技	
SZ002279	久其软件	
SZ300113	顺网科技	
SZ300302	同有科技	
SZ300271	华宇软件	
SZ300290	荣科科技	
SZ300128	锦富技术	
SZ002301	齐心集团	
SZ002075	沙钢股份	
SZ000034	神州数码	

