code		name		
SZ000005	世纪星源	
SZ000009	中国宝安	
SZ000400	许继电气	
SZ000407	胜利股份	
SZ000421	南京公用	
SZ000601	韶能股份	
SZ000682	东方电子	
SZ000909	数源科技	
SZ002028	思源电气	
SZ002062	宏润建设	
SZ002074	国轩高科	
SZ002076	雪 莱 特	
SZ002121	科陆电子	
SZ002123	梦网集团	
SZ002190	成飞集成	
SZ002212	南洋股份	
SZ002227	奥 特 迅	
SZ002256	兆新股份	
SZ002276	万马股份	
SZ002298	中电鑫龙	
SZ002334	英威腾		
SZ002357	富临运业	
SZ002358	森源电气	
SZ002363	隆基机械	
SZ002364	中恒电气	
SZ002441	众业达		
SZ002442	龙星化工	
SZ002518	科士达		
SZ002519	银河电子	
SZ002522	浙江众成	
SZ002533	金杯电工	
SZ002594	比亚迪		
SZ002607	亚夏汽车	
SZ002610	爱康科技	
SZ002660	茂硕电源	
SZ002706	良信电器	
SZ002768	国恩股份	
SZ002782	可立克		
SZ002851	麦格米特	
SZ002885	京泉华		
SZ300001	特锐德		
SZ300040	九洲电气	
SZ300048	合康新能	
SZ300062	中能电气	
SZ300141	和顺电气	
SZ300274	阳光电源	
SZ300376	易事特		
SZ300478	杭州高新	
SZ300491	通合科技	
SZ300499	高澜股份	
SZ300510	金冠电气	
SZ300582	英飞特		
SZ300693	盛弘股份	
SZ300713	英可瑞		
SH600268	国电南自	
SH600330	天通股份	
SH600386	北巴传媒	
SH600405	动力源		
SH600406	国电南瑞	
SH600487	亨通光电	
SH600522	中天科技	
SH600680	*ST上普		
SH600979	广安爱众	
SH603012	创力集团	

