code		name		
SZ000026	飞亚达Ａ	
SZ000066	中国长城	
SZ000070	特发信息	
SZ000425	徐工机械	
SZ000519	中兵红箭	
SZ000534	万泽股份	
SZ000547	航天发展	
SZ000561	烽火电子	
SZ000595	*ST宝实		
SZ000687	华讯方舟	
SZ000738	航发控制	
SZ000768	中航飞机	
SZ000818	方大化工	
SZ000837	秦川机床	
SZ000887	中鼎股份	
SZ000901	航天科技	
SZ000977	浪潮信息	
SZ001696	宗申动力	
SZ002003	伟星股份	
SZ002013	中航机电	
SZ002023	海特高新	
SZ002025	航天电器	
SZ002028	思源电气	
SZ002037	久联发展	
SZ002046	轴研科技	
SZ002049	紫光国芯	
SZ002056	横店东磁	
SZ002063	远光软件	
SZ002077	大港股份	
SZ002097	山河智能	
SZ002111	威海广泰	
SZ002130	沃尔核材	
SZ002147	新光圆成	
SZ002151	北斗星通	
SZ002167	东方锆业	
SZ002171	楚江新材	
SZ002179	中航光电	
SZ002189	利达光电	
SZ002204	大连重工	
SZ002224	三 力 士	
SZ002230	科大讯飞	
SZ002246	北化股份	
SZ002253	川大智胜	
SZ002254	泰和新材	
SZ002265	西仪股份	
SZ002297	博云新材	
SZ002300	太阳电缆	
SZ002328	新朋股份	
SZ002331	皖通科技	
SZ002335	科华恒盛	
SZ002339	积成电子	
SZ002342	巨力索具	
SZ002350	北京科锐	
SZ002361	神剑股份	
SZ002366	台海核电	
SZ002371	北方华创	
SZ002389	南洋科技	
SZ002406	远东传动	
SZ002413	雷科防务	
SZ002414	高德红外	
SZ002423	中原特钢	
SZ002428	云南锗业	
SZ002436	兴森科技	
SZ002439	启明星辰	
SZ002444	巨星科技	
SZ002446	盛路通信	
SZ002448	中原内配	
SZ002451	摩恩电气	
SZ002465	海格通信	
SZ002501	利源精制	
SZ002510	天汽模		
SZ002544	杰赛科技	
SZ002547	春兴精工	
SZ002552	宝鼎科技	
SZ002560	通达股份	
SZ002564	天沃科技	
SZ002576	通达动力	
SZ002580	圣阳股份	
SZ002611	东方精工	
SZ002625	光启技术	
SZ002651	利君股份	
SZ002669	康达新材	
SZ002683	宏大爆破	
SZ002684	猛狮科技	
SZ002692	睿康股份	
SZ002724	海洋王		
SZ002730	电光科技	
SZ002747	埃斯顿		
SZ002783	凯龙股份	
SZ002829	星网宇达	
SZ002837	英维克		
SZ002871	伟隆股份	
SZ300008	天海防务	
SZ300024	机器人		
SZ300034	钢研高纳	
SZ300045	华力创通	
SZ300065	海兰信		
SZ300084	海默科技	
SZ300095	华伍股份	
SZ300099	精准信息	
SZ300101	振芯科技	
SZ300103	达刚路机	
SZ300114	中航电测	
SZ300123	太阳鸟		
SZ300129	泰胜风能	
SZ300173	智慧松德	
SZ300185	通裕重工	
SZ300201	海伦哲		
SZ300210	森远股份	
SZ300213	佳讯飞鸿	
SZ300215	电科院		
SZ300252	金信诺		
SZ300263	隆华节能	
SZ300265	通光线缆	
SZ300278	华昌达		
SZ300287	飞利信		
SZ300297	蓝盾股份	
SZ300302	同有科技	
SZ300324	旋极信息	
SZ300337	银邦股份	
SZ300342	天银机电	
SZ300345	红宇新材	
SZ300351	永贵电器	
SZ300353	东土科技	
SZ300397	天和防务	
SZ300402	宝色股份	
SZ300411	金盾股份	
SZ300414	中光防雷	
SZ300427	红相电力	
SZ300447	全信股份	
SZ300456	耐威科技	
SZ300474	景嘉微		
SZ300480	光力科技	
SZ300490	华自科技	
SZ300516	久之洋		
SZ300527	华舟应急	
SZ300563	神宇股份	
SZ300581	晨曦航空	
SZ300589	江龙船艇	
SZ300593	新雷能		
SZ300600	瑞特股份	
SZ300629	新劲刚		
SZ300659	中孚信息	
SZ300667	必创科技	
SZ300696	爱乐达		
SZ300699	光威复材	
SZ300719	安达维尔	
SZ300722	新余国科	
SZ300726	宏达电子	
SH600031	三一重工	
SH600038	中直股份	
SH600072	中船科技	
SH600100	同方股份	
SH600118	中国卫星	
SH600119	长江投资	
SH600148	长春一东	
SH600150	中国船舶	
SH600172	黄河旋风	
SH600184	光电股份	
SH600260	凯乐科技	
SH600316	洪都航空	
SH600372	中航电子	
SH600375	华菱星马	
SH600391	航发科技	
SH600399	抚顺特钢	
SH600416	湘电股份	
SH600435	北方导航	
SH600456	宝钛股份	
SH600459	贵研铂业	
SH600482	中国动力	
SH600485	信威集团	
SH600487	亨通光电	
SH600501	航天晨光	
SH600523	贵航股份	
SH600558	大西洋		
SH600590	泰豪科技	
SH600614	鹏起科技	
SH600636	*ST爱富		
SH600677	航天通信	
SH600685	中船防务	
SH600698	湖南天雁	
SH600732	ST新梅		
SH600760	中航黑豹	
SH600764	中电广通	
SH600765	中航重机	
SH600850	华东电脑	
SH600855	航天长峰	
SH600879	航天电子	
SH600893	航发动力	
SH600990	四创电子	
SH601118	海南橡胶	
SH601126	四方股份	
SH601208	东材科技	
SH601311	骆驼股份	
SH601608	中信重工	
SH601611	中国核建	
SH601718	际华集团	
SH601890	亚星锚链	
SH601989	中国重工	
SH603042	华脉科技	
SH603067	振华股份	
SH603129	春风动力	
SH603131	上海沪工	
SH603166	福达股份	
SH603338	浙江鼎力	
SH603678	火炬电子	
SH603936	博敏电子	
SH603978	深圳新星	

