code		name		
SZ000066	中国长城	
SZ000519	中兵红箭	
SZ000547	航天发展	
SZ000561	烽火电子	
SZ000687	华讯方舟	
SZ000732	泰禾集团	
SZ000733	振华科技	
SZ000801	四川九洲	
SZ000901	航天科技	
SZ000955	欣龙控股	
SZ001696	宗申动力	
SZ002023	海特高新	
SZ002046	轴研科技	
SZ002063	远光软件	
SZ002089	新 海 宜	
SZ002097	山河智能	
SZ002147	新光圆成	
SZ002151	北斗星通	
SZ002171	楚江新材	
SZ002179	中航光电	
SZ002224	三 力 士	
SZ002246	北化股份	
SZ002253	川大智胜	
SZ002254	泰和新材	
SZ002303	美盈森		
SZ002335	科华恒盛	
SZ002339	积成电子	
SZ002342	巨力索具	
SZ002352	顺丰控股	
SZ002361	神剑股份	
SZ002406	远东传动	
SZ002414	高德红外	
SZ002427	尤夫股份	
SZ002439	启明星辰	
SZ002446	盛路通信	
SZ002465	海格通信	
SZ002497	雅化集团	
SZ002519	银河电子	
SZ002520	日发精机	
SZ002528	英飞拓		
SZ002535	林州重机	
SZ002560	通达股份	
SZ002576	通达动力	
SZ002611	东方精工	
SZ002625	光启技术	
SZ002669	康达新材	
SZ002743	富煌钢构	
SZ002771	真视通		
SZ002777	久远银海	
SZ002783	凯龙股份	
SZ300008	天海防务	
SZ300045	华力创通	
SZ300099	精准信息	
SZ300101	振芯科技	
SZ300103	达刚路机	
SZ300114	中航电测	
SZ300123	太阳鸟		
SZ300185	通裕重工	
SZ300213	佳讯飞鸿	
SZ300215	电科院		
SZ300265	通光线缆	
SZ300345	红宇新材	
SZ300351	永贵电器	
SZ300352	北信源		
SZ300353	东土科技	
SZ300395	菲利华		
SZ300397	天和防务	
SZ300427	红相电力	
SZ300456	耐威科技	
SZ300516	久之洋		
SZ300527	华舟应急	
SZ300581	晨曦航空	
SZ300589	江龙船艇	
SZ300593	新雷能		
SZ300600	瑞特股份	
SZ300696	爱乐达		
SZ300699	光威复材	
SZ300711	广哈通信	
SZ300719	安达维尔	
SZ300722	新余国科	
SZ300726	宏达电子	
SH600031	三一重工	
SH600118	中国卫星	
SH600150	中国船舶	
SH600343	航天动力	
SH600372	中航电子	
SH600416	湘电股份	
SH600562	国睿科技	
SH600565	迪马股份	
SH600736	苏州高新	
SH600765	中航重机	
SH600783	鲁信创投	
SH600839	四川长虹	
SH600877	*ST嘉陵		
SH600879	航天电子	
SH601678	滨化股份	
SH601718	际华集团	
SH601989	中国重工	
SH603338	浙江鼎力	
SH603618	杭电股份	
SH603859	能科股份	

