代码		名称		
SZ000007	全新好		
SZ000156	华数传媒	
SZ000158	常山北明	
SZ000333	美的集团	
SZ000530	大冷股份	
SZ000555	神州信息	
SZ000606	神州易桥	
SZ000611	天首发展	
SZ000638	万方发展	
SZ000662	天夏智慧	
SZ000703	恒逸石化	
SZ000711	京蓝科技	
SZ000815	美利云		
SZ000851	高鸿股份	
SZ000861	海印股份	
SZ000938	紫光股份	
SZ000948	南天信息	
SZ000971	高升控股	
SZ000997	新 大 陆	
SZ002024	苏宁云商	
SZ002075	沙钢股份	
SZ002122	天马股份	
SZ002131	利欧股份	
SZ002152	广电运通	
SZ002154	报 喜 鸟	
SZ002168	深圳惠程	
SZ002174	游族网络	
SZ002230	科大讯飞	
SZ002261	拓维信息	
SZ002268	卫 士 通	
SZ002271	东方雨虹	
SZ002279	久其软件	
SZ002308	威创股份	
SZ002316	键桥通讯	
SZ002335	科华恒盛	
SZ002340	格林美		
SZ002345	潮宏基		
SZ002400	省广股份	
SZ002402	和而泰		
SZ002415	海康威视	
SZ002439	启明星辰	
SZ002445	中南文化	
SZ002464	众应互联	
SZ002491	通鼎互联	
SZ002494	华斯股份	
SZ002622	融钰集团	
SZ002642	荣之联		
SZ002649	博彦科技	
SZ002658	雪迪龙		
SZ002707	众信旅游	
SZ002777	久远银海	
SZ002908	德生科技	
SZ002912	中新赛克	
SZ300002	神州泰岳	
SZ300017	网宿科技	
SZ300033	同花顺		
SZ300044	赛为智能	
SZ300047	天源迪科	
SZ300050	世纪鼎利	
SZ300053	欧比特		
SZ300066	三川智慧	
SZ300074	华平股份	
SZ300078	思创医惠	
SZ300085	银之杰		
SZ300088	长信科技	
SZ300096	易联众		
SZ300128	锦富技术	
SZ300130	新国都		
SZ300133	华策影视	
SZ300157	恒泰艾普	
SZ300166	东方国信	
SZ300170	汉得信息	
SZ300173	智慧松德	
SZ300175	朗源股份	
SZ300188	美亚柏科	
SZ300212	易华录		
SZ300229	拓尔思		
SZ300231	银信科技	
SZ300245	天玑科技	
SZ300250	初灵信息	
SZ300270	中威电子	
SZ300271	华宇软件	
SZ300281	金明精机	
SZ300287	飞利信		
SZ300288	朗玛信息	
SZ300290	荣科科技	
SZ300297	蓝盾股份	
SZ300324	旋极信息	
SZ300336	新文化		
SZ300353	东土科技	
SZ300366	创意信息	
SZ300367	东方网力	
SZ300378	鼎捷软件	
SZ300379	东方通		
SZ300384	三联虹普	
SZ300419	浩丰科技	
SZ300420	五洋科技	
SZ300431	暴风集团	
SZ300451	创业软件	
SZ300459	金科文化	
SZ300462	华铭智能	
SZ300465	高伟达		
SZ300541	先进数通	
SZ300608	思特奇		
SZ300609	汇纳科技	
SZ300730	科创信息	
SH600037	歌华有线	
SH600050	中国联通	
SH600070	浙江富润	
SH600105	永鼎股份	
SH600151	航天机电	
SH600166	福田汽车	
SH600242	中昌数据	
SH600271	航天信息	
SH600385	山东金泰	
SH600410	华胜天成	
SH600487	亨通光电	
SH600518	康美药业	
SH600588	用友网络	
SH600590	泰豪科技	
SH600633	浙数文化	
SH600756	浪潮软件	
SH600797	浙大网新	
SH600804	鹏博士		
SH600831	广电网络	
SH600845	宝信软件	
SH600850	华东电脑	
SH600936	广西广电	
SH600996	贵广网络	
SH601313	江南嘉捷	
SH601789	宁波建工	
SH601928	凤凰传媒	
SH603138	海量数据	
SH603636	南威软件	
SH603869	北部湾旅	
SH603881	数据港		

