code		name		
SZ000852	石化机械	
SH600598	北大荒		
SZ000411	英特集团	
SH600391	航发科技	
SH600058	五矿发展	
SH600345	长江通信	
SH600313	农发种业	
SH600316	洪都航空	
SZ000736	中交地产	
SH600151	航天机电	
SZ002190	成飞集成	
SZ000028	国药一致	
SH600072	中船科技	
SZ000799	酒鬼酒		
SZ000862	银星能源	
SH600262	北方股份	
SZ000777	中核科技	
SH600343	航天动力	
SH600420	现代制药	
SZ002302	西部建设	
SH600622	光大嘉宝	
SZ000822	山东海化	
SH600764	中国海防	
SH600765	中航重机	
SZ000831	五矿稀土	
SZ000720	新能泰山	
SZ000800	一汽轿车	
SH600062	华润双鹤	
SZ002037	久联发展	
SZ300516	久之洋		
SZ000519	中兵红箭	
SH601989	中国重工	
SZ000151	中成股份	
SH600787	中储股份	
SZ002732	燕塘乳业	
SH600150	中国船舶	
SZ000059	华锦股份	
SZ000901	航天科技	
SZ002140	东华科技	
SH603128	华贸物流	
SZ000815	美利云		
SH600501	航天晨光	
SH601038	一拖股份	
SH600328	兰太实业	
SZ000927	一汽夏利	
SZ300034	钢研高纳	
SH600230	沧州大化	
SH600135	乐凯胶片	
SH600048	保利地产	
SZ000423	东阿阿胶	
SH601858	中国科传	
SZ000922	*ST佳电		
SH600489	中金黄金	
SH600530	交大昂立	
SH600737	中粮糖业	
SH600528	中铁工业	
SH600710	苏美达		
SH600390	五矿资本	
SH600099	林海股份	
SH600028	中国石化	
SZ300114	中航电测	
SH600176	中国巨石	
SH600482	中国动力	
SZ000065	北方国际	
SH600006	东风汽车	
SH600876	洛阳玻璃	
SH600435	北方导航	
SZ002246	北化股份	
SH600855	航天长峰	
SH600582	天地科技	
SH600973	宝胜股份	
SZ000016	深康佳Ａ	
SH600184	光电股份	
SH603000	人民网		
SH600726	华电能源	
SZ300212	易华录		
SZ000898	鞍钢股份	
SZ000043	中航地产	
SZ002051	中工国际	
SH600178	东安动力	
SZ002189	利达光电	
SZ000839	中信国安	
SH600677	航天通信	
SZ000798	中水渔业	
SH600392	盛和资源	
SZ002046	轴研科技	
SH601611	中国核建	
SZ000591	太阳能		
