code		name		
SZ000009	中国宝安	
SZ000049	德赛电池	
SZ000063	中兴通讯	
SZ000413	东旭光电	
SZ000511	*ST烯碳		
SZ000559	万向钱潮	
SZ000572	海马汽车	
SZ000601	韶能股份	
SZ000625	长安汽车	
SZ000723	美锦能源	
SZ000733	振华科技	
SZ000791	甘肃电投	
SZ000795	英洛华		
SZ000800	一汽轿车	
SZ000807	云铝股份	
SZ000839	中信国安	
SZ000868	安凯客车	
SZ000887	中鼎股份	
SZ000893	东凌国际	
SZ000922	*ST佳电		
SZ000927	一汽夏利	
SZ000957	中通客车	
SZ000970	中科三环	
SZ000980	众泰汽车	
SZ000981	银亿股份	
SZ002011	盾安环境	
SZ002050	三花智控	
SZ002055	得润电子	
SZ002074	国轩高科	
SZ002076	雪 莱 特	
SZ002085	万丰奥威	
SZ002091	江苏国泰	
SZ002126	银轮股份	
SZ002131	利欧股份	
SZ002176	江特电机	
SZ002179	中航光电	
SZ002190	成飞集成	
SZ002196	方正电机	
SZ002224	三 力 士	
SZ002227	奥 特 迅	
SZ002239	奥特佳		
SZ002249	大洋电机	
SZ002263	大 东 南	
SZ002276	万马股份	
SZ002284	亚太股份	
SZ002334	英威腾		
SZ002340	格林美		
SZ002347	泰尔股份	
SZ002363	隆基机械	
SZ002389	南洋科技	
SZ002407	多氟多		
SZ002418	康盛股份	
SZ002434	万里扬		
SZ002441	众业达		
SZ002442	龙星化工	
SZ002450	康得新		
SZ002454	松芝股份	
SZ002460	赣锋锂业	
SZ002472	双环传动	
SZ002510	天汽模		
SZ002519	银河电子	
SZ002529	海源机械	
SZ002533	金杯电工	
SZ002540	亚太科技	
SZ002580	圣阳股份	
SZ002590	万安科技	
SZ002594	比亚迪		
SZ002610	爱康科技	
SZ002611	东方精工	
SZ002617	露笑科技	
SZ002632	道明光学	
SZ002660	茂硕电源	
SZ002662	京威股份	
SZ002684	猛狮科技	
SZ002686	亿利达		
SZ002708	光洋股份	
SZ002733	雄韬股份	
SZ002806	华锋股份	
SZ002824	和胜股份	
SZ002837	英维克		
SZ002851	麦格米特	
SZ002860	星帅尔		
SZ002886	沃特股份	
SZ300001	特锐德		
SZ300014	亿纬锂能	
SZ300040	九洲电气	
SZ300048	合康新能	
SZ300068	南都电源	
SZ300073	当升科技	
SZ300088	长信科技	
SZ300100	双林股份	
SZ300104	乐视网		
SZ300115	长盈精密	
SZ300116	坚瑞沃能	
SZ300153	科泰电源	
SZ300161	华中数控	
SZ300198	纳川股份	
SZ300207	欣旺达		
SZ300219	鸿利智汇	
SZ300222	科大智能	
SZ300224	正海磁材	
SZ300228	富瑞特装	
SZ300258	精锻科技	
SZ300274	阳光电源	
SZ300325	德威新材	
SZ300328	宜安科技	
SZ300351	永贵电器	
SZ300473	德尔股份	
SZ300476	胜宏科技	
SZ300484	蓝海华腾	
SZ300491	通合科技	
SZ300547	川环科技	
SZ300585	奥联电子	
SZ300681	英搏尔		
SZ300713	英可瑞		
SH600006	东风汽车	
SH600066	宇通客车	
SH600074	ST保千里	
SH600094	大名城		
SH600104	上汽集团	
SH600139	西部资源	
SH600157	永泰能源	
SH600166	福田汽车	
SH600213	亚星客车	
SH600237	铜峰电子	
SH600303	曙光股份	
SH600330	天通股份	
SH600390	五矿资本	
SH600409	三友化工	
SH600418	江淮汽车	
SH600478	科力远		
SH600482	中国动力	
SH600487	亨通光电	
SH600522	中天科技	
SH600525	长园集团	
SH600563	法拉电子	
SH600580	卧龙电气	
SH600678	四川金顶	
SH600686	金龙汽车	
SH600699	均胜电子	
SH600718	东软集团	
SH600741	华域汽车	
SH600764	中电广通	
SH600773	西藏城投	
SH600805	悦达投资	
SH600875	东方电气	
SH600884	杉杉股份	
SH600894	广日股份	
SH600960	渤海活塞	
SH600990	四创电子	
SH601127	小康股份	
SH601238	广汽集团	
SH601311	骆驼股份	
SH601633	长城汽车	
SH601689	拓普集团	
SH601777	力帆股份	
SH601965	中国汽研	
SH603012	创力集团	
SH603131	上海沪工	
SH603158	腾龙股份	
SH603305	旭升股份	
SH603358	华达科技	
SH603659	璞泰来		
SH603677	奇精机械	
SH603766	隆鑫通用	
SH603767	中马传动	
SH603776	永安行		
SH603997	继峰股份	

