code		name		
SH600361	华联综超	
SZ000571	新大洲Ａ	
SZ000639	西王食品	
SH603101	汇嘉时代	
SH600600	青岛啤酒	
SZ300005	探路者		
SH600271	航天信息	
SZ000987	越秀金控	
SH600858	银座股份	
SH603708	家家悦		
SZ002582	好想你		
SH600778	友好集团	
SH603031	安德利		
SH600655	豫园股份	
SH600828	茂业商业	
SZ000882	华联股份	
SH603608	天创时尚	
SH600861	北京城乡	
SH600280	中央商场	
SH600694	大商股份	
SZ000417	合肥百货	
SH600891	秋林集团	
SZ000715	中兴商业	
SH600687	刚泰控股	
SH600723	首商股份	
SH603877	太平鸟		
SH600785	新华百货	
SZ000756	新华制药	
SZ002277	友阿股份	
SZ002024	苏宁易购	
SZ002251	步 步 高	
SH600628	新世界		
SZ002187	广百股份	
SZ002697	红旗连锁	
SH600738	兰州民百	
SH600821	津劝业		
SH600712	南宁百货	
SH603777	来伊份		
SH600697	欧亚集团	
SZ002461	珠江啤酒	
SH600398	海澜之家	
SH600865	百大集团	
SH600859	王府井		
SZ002127	南极电商	
SZ002561	徐家汇		
SH600814	杭州解百	
SZ002403	爱仕达		
SH600327	大东方		
SH600597	光明乳业	
SZ000679	大连友谊	
SZ000501	鄂武商Ａ	
SH601933	永辉超市	
SZ000560	昆百大Ａ	
SZ002183	怡 亚 通	
SZ002153	石基信息	
SZ000725	京东方Ａ	
SH600122	宏图高科	
SZ300094	国联水产	
SH600824	益民集团	
SH600693	东百集团	
SZ000785	武汉中商	
SH600827	百联股份	
SH600838	上海九百	
SZ002336	人人乐		
SH600774	汉商集团	
SZ002419	天虹股份	
SZ000759	中百集团	
SH601086	国芳集团	
SZ002264	新 华 都	
SH600306	商业城		
SH601116	三江购物	
SZ000564	供销大集	
SZ300441	鲍斯股份	
SH600682	南京新百	
SH600729	重庆百货	

