code		name		
SZ000034	神州数码	
SZ000063	中兴通讯	
SZ000066	中国长城	
SZ000158	常山北明	
SZ002197	证通电子	
SZ002212	南洋股份	
SZ002268	卫 士 通	
SZ002439	启明星辰	
SZ002447	壹桥股份	
SZ002491	通鼎互联	
SZ002544	杰赛科技	
SZ002912	中新赛克	
SZ300010	立思辰		
SZ300038	梅泰诺		
SZ300077	国民技术	
SZ300079	数码科技	
SZ300113	顺网科技	
SZ300130	新国都		
SZ300188	美亚柏科	
SZ300229	拓尔思		
SZ300297	蓝盾股份	
SZ300311	任子行		
SZ300324	旋极信息	
SZ300333	兆日科技	
SZ300352	北信源		
SZ300369	绿盟科技	
SZ300379	东方通		
SZ300386	飞天诚信	
SZ300462	华铭智能	
SZ300479	神思电子	
SZ300546	雄帝科技	
SZ300579	数字认证	
SZ300588	熙菱信息	
SZ300659	中孚信息	
SH600100	同方股份	
SH600105	永鼎股份	
SH600271	航天信息	
SH600289	ST信通		
SH600410	华胜天成	
SH600485	信威集团	
SH600487	亨通光电	
SH600536	中国软件	
SH600701	工大高新	
SH600718	东软集团	
SH600776	东方通信	
SH601313	江南嘉捷	
SH603019	中科曙光	
SH603232	格尔软件	
SH603636	南威软件	

