code		name		
SZ000021	深科技		
SZ000670	盈方微		
SZ000936	华西股份	
SZ000938	紫光股份	
SZ000988	华工科技	
SZ002005	德豪润达	
SZ002023	海特高新	
SZ002049	紫光国芯	
SZ002079	苏州固锝	
SZ002119	康强电子	
SZ002156	通富微电	
SZ002180	纳思达		
SZ002185	华天科技	
SZ002245	澳洋顺昌	
SZ002281	光迅科技	
SZ002371	北方华创	
SZ002405	四维图新	
SZ002409	雅克科技	
SZ002429	兆驰股份	
SZ002436	兴森科技	
SZ002618	丹邦科技	
SZ002745	木林森		
SZ002916	深南电路	
SZ300046	台基股份	
SZ300053	欧比特		
SZ300054	鼎龙股份	
SZ300077	国民技术	
SZ300098	高新兴		
SZ300101	振芯科技	
SZ300102	乾照光电	
SZ300131	英唐智控	
SZ300183	东软载波	
SZ300201	海伦哲		
SZ300223	北京君正	
SZ300236	上海新阳	
SZ300323	华灿光电	
SZ300327	中颖电子	
SZ300373	扬杰科技	
SZ300456	耐威科技	
SZ300458	全志科技	
SZ300474	景嘉微		
SZ300493	润欣科技	
SZ300514	友讯达		
SZ300520	科大国创	
SZ300590	移为通信	
SZ300613	富瀚微		
SZ300623	捷捷微电	
SZ300661	圣邦股份	
SZ300666	江丰电子	
SZ300667	必创科技	
SZ300671	富满电子	
SZ300672	国科微		
SZ300708	聚灿光电	
SH600171	上海贝岭	
SH600206	有研新材	
SH600360	华微电子	
SH600460	士兰微		
SH600584	长电科技	
SH600667	太极实业	
SH600703	三安光电	
SH600770	综艺股份	
SH601137	博威合金	
SH603005	晶方科技	
SH603010	万盛股份	
SH603160	汇顶科技	
SH603501	韦尔股份	
SH603986	兆易创新	

