code		name		
SZ000009	中国宝安	
SZ000023	深天地Ａ	
SZ000049	德赛电池	
SZ000155	川化股份	
SZ000408	藏格控股	
SZ000413	东旭光电	
SZ000511	*ST烯碳		
SZ000541	佛山照明	
SZ000559	万向钱潮	
SZ000571	新大洲Ａ	
SZ000616	海航投资	
SZ000625	长安汽车	
SZ000636	风华高科	
SZ000697	炼石有色	
SZ000716	黑芝麻		
SZ000733	振华科技	
SZ000760	斯太尔		
SZ000762	西藏矿业	
SZ000792	盐湖股份	
SZ000821	京山轻机	
SZ000839	中信国安	
SZ000913	钱江摩托	
SZ000962	东方钽业	
SZ000973	佛塑科技	
SZ000993	闽东电力	
SZ002009	天奇股份	
SZ002012	凯恩股份	
SZ002045	国光电器	
SZ002056	横店东磁	
SZ002057	中钢天源	
SZ002070	*ST众和		
SZ002074	国轩高科	
SZ002076	雪 莱 特	
SZ002077	大港股份	
SZ002080	中材科技	
SZ002085	万丰奥威	
SZ002089	新 海 宜	
SZ002091	江苏国泰	
SZ002108	沧州明珠	
SZ002116	中国海诚	
SZ002121	科陆电子	
SZ002125	湘潭电化	
SZ002136	安 纳 达	
SZ002139	拓邦股份	
SZ002141	贤丰控股	
SZ002145	中核钛白	
SZ002165	红 宝 丽	
SZ002168	深圳惠程	
SZ002171	楚江新材	
SZ002176	江特电机	
SZ002190	成飞集成	
SZ002192	融捷股份	
SZ002206	海 利 得	
SZ002240	威华股份	
SZ002245	澳洋顺昌	
SZ002256	兆新股份	
SZ002263	大 东 南	
SZ002289	宇顺电子	
SZ002326	永太科技	
SZ002334	英威腾		
SZ002340	格林美		
SZ002341	新纶科技	
SZ002347	泰尔股份	
SZ002386	天原集团	
SZ002389	南洋科技	
SZ002404	嘉欣丝绸	
SZ002407	多氟多		
SZ002411	必康股份	
SZ002418	康盛股份	
SZ002426	胜利精密	
SZ002427	尤夫股份	
SZ002455	百川股份	
SZ002460	赣锋锂业	
SZ002466	天齐锂业	
SZ002497	雅化集团	
SZ002510	天汽模		
SZ002533	金杯电工	
SZ002580	圣阳股份	
SZ002594	比亚迪		
SZ002611	东方精工	
SZ002617	露笑科技	
SZ002631	德尔未来	
SZ002632	道明光学	
SZ002662	京威股份	
SZ002684	猛狮科技	
SZ002709	天赐材料	
SZ002723	金莱特		
SZ002733	雄韬股份	
SZ002741	光华科技	
SZ002756	永兴特钢	
SZ002759	天际股份	
SZ002805	丰元股份	
SZ002812	创新股份	
SZ002850	科达利		
SZ300014	亿纬锂能	
SZ300019	硅宝科技	
SZ300035	中科电气	
SZ300037	新宙邦		
SZ300068	南都电源	
SZ300073	当升科技	
SZ300077	国民技术	
SZ300080	易成新能	
SZ300082	奥克股份	
SZ300097	智云股份	
SZ300116	坚瑞沃能	
SZ300117	嘉寓股份	
SZ300153	科泰电源	
SZ300198	纳川股份	
SZ300201	海伦哲		
SZ300207	欣旺达		
SZ300317	珈伟股份	
SZ300340	科恒股份	
SZ300409	道氏技术	
SZ300410	正业科技	
SZ300432	富临精工	
SZ300438	鹏辉能源	
SZ300444	双杰电气	
SZ300450	先导智能	
SZ300457	赢合科技	
SZ300477	合纵科技	
SZ300490	华自科技	
SZ300510	金冠电气	
SZ300568	星源材质	
SZ300586	美联新材	
SZ300619	金银河		
SZ300648	星云股份	
SZ300655	晶瑞股份	
SH600067	冠城大通	
SH600074	ST保千里	
SH600076	康欣新材	
SH600084	中葡股份	
SH600094	大名城		
SH600096	云天化		
SH600110	诺德股份	
SH600135	乐凯胶片	
SH600139	西部资源	
SH600152	维科精华	
SH600175	美都能源	
SH600192	长城电工	
SH600210	紫江企业	
SH600232	金鹰股份	
SH600241	时代万恒	
SH600255	梦舟股份	
SH600303	曙光股份	
SH600330	天通股份	
SH600338	西藏珠峰	
SH600367	红星发展	
SH600390	五矿资本	
SH600405	动力源		
SH600409	三友化工	
SH600418	江淮汽车	
SH600432	*ST吉恩		
SH600470	六国化工	
SH600478	科力远		
SH600482	中国动力	
SH600499	科达洁能	
SH600500	中化国际	
SH600516	方大炭素	
SH600522	中天科技	
SH600525	长园集团	
SH600549	厦门钨业	
SH600580	卧龙电气	
SH600673	东阳光科	
SH600680	*ST上普		
SH600711	盛屯矿业	
SH600773	西藏城投	
SH600839	四川长虹	
SH600854	春兰股份	
SH600869	智慧能源	
SH600872	中炬高新	
SH600884	杉杉股份	
SH601011	宝泰隆		
SH601311	骆驼股份	
SH601877	正泰电器	
SH603026	石大胜华	
SH603611	诺力股份	
SH603659	璞泰来		
SH603799	华友钴业	
SH603806	福斯特		
SH603826	坤彩科技	
SH603959	百利科技	

