code		name		
SZ000012	南  玻Ａ	
SZ000018	神州长城	
SZ000039	中集集团	
SZ000062	深圳华强	
SZ000158	常山北明	
SZ000401	冀东水泥	
SZ000415	渤海金控	
SZ000593	大通燃气	
SZ000599	青岛双星	
SZ000600	建投能源	
SZ000605	渤海股份	
SZ000615	京汉股份	
SZ000616	海航投资	
SZ000652	泰达股份	
SZ000687	华讯方舟	
SZ000709	河钢股份	
SZ000711	京蓝科技	
SZ000778	新兴铸管	
SZ000786	北新建材	
SZ000826	启迪桑德	
SZ000852	石化机械	
SZ000856	冀东装备	
SZ000897	津滨发展	
SZ000923	河北宣工	
SZ000931	中 关 村	
SZ000937	冀中能源	
SZ000939	凯迪生态	
SZ000958	东方能源	
SZ000959	首钢股份	
SZ000965	天保基建	
SZ000990	诚志股份	
SZ001979	招商蛇口	
SZ002010	传化智联	
SZ002011	盾安环境	
SZ002065	东华软件	
SZ002090	金智科技	
SZ002108	沧州明珠	
SZ002146	荣盛发展	
SZ002158	汉钟精机	
SZ002205	国统股份	
SZ002271	东方雨虹	
SZ002282	博深工具	
SZ002305	南国置业	
SZ002310	东方园林	
SZ002342	巨力索具	
SZ002350	北京科锐	
SZ002373	千方科技	
SZ002392	北京利尔	
SZ002421	达实智能	
SZ002431	棕榈股份	
SZ002457	青龙管业	
SZ002459	天业通联	
SZ002477	雏鹰农牧	
SZ002494	华斯股份	
SZ002542	中化岩土	
SZ002567	唐人神		
SZ002573	清新环境	
SZ002580	圣阳股份	
SZ002616	长青集团	
SZ002625	光启技术	
SZ002665	首航节能	
SZ002717	岭南园林	
SZ002743	富煌钢构	
SZ002809	红墙股份	
SZ002883	中设股份	
SZ300020	银江股份	
SZ300021	大禹节水	
SZ300041	回天新材	
SZ300048	合康新能	
SZ300055	万邦达		
SZ300062	中能电气	
SZ300070	碧水源		
SZ300075	数字政通	
SZ300107	建新股份	
SZ300117	嘉寓股份	
SZ300137	先河环保	
SZ300140	中环装备	
SZ300157	恒泰艾普	
SZ300210	森远股份	
SZ300212	易华录		
SZ300255	常山药业	
SZ300259	新天科技	
SZ300284	苏交科		
SZ300334	津膜科技	
SZ300335	迪森股份	
SZ300344	太空板业	
SZ300353	东土科技	
SZ300368	汇金股份	
SZ300371	汇中股份	
SZ300374	恒通科技	
SZ300407	凯发电气	
SZ300428	四通新材	
SZ300446	乐凯新材	
SZ300491	通合科技	
SZ300500	启迪设计	
SZ300579	数字认证	
SZ300621	维业股份	
SZ300649	杭州园林	
SZ300675	建科院		
SH600008	首创股份	
SH600135	乐凯胶片	
SH600149	*ST坊展		
SH600155	宝硕股份	
SH600170	上海建工	
SH600221	海航控股	
SH600230	沧州大化	
SH600266	北京城建	
SH600340	华夏幸福	
SH600376	首开股份	
SH600463	空港股份	
SH600476	湘邮科技	
SH600477	杭萧钢构	
SH600480	凌云股份	
SH600482	中国动力	
SH600496	精工钢构	
SH600533	栖霞建设	
SH600550	保变电气	
SH600578	京能电力	
SH600717	天津港		
SH600722	金牛化工	
SH600764	中电广通	
SH600812	华北制药	
SH600846	同济科技	
SH600871	石化油服	
SH600874	创业环保	
SH600963	岳阳林纸	
SH601000	唐山港		
SH601258	庞大集团	
SH601326	秦港股份	
SH601633	长城汽车	
SH601992	金隅股份	
SH603019	中科曙光	
SH603050	科林电气	
SH603098	森特股份	
SH603106	恒银金融	
SH603126	中材节能	
SH603385	惠达卫浴	
SH603569	长久物流	
SH603603	博天环境	
SH603616	韩建河山	
SH603717	天域生态	
SH603903	中持股份	
SH603969	银龙股份	

