,code,name,c_name
0,600050,中国联通,5G概念
1,600105,永鼎股份,5G概念
2,600198,大唐电信,5G概念
3,600289,亿阳信通,5G概念
4,600345,长江通信,5G概念
5,600485,信威集团,5G概念
6,600487,亨通光电,5G概念
7,600498,烽火通信,5G概念
8,600522,中天科技,5G概念
9,600728,佳都科技,5G概念
10,600770,综艺股份,5G概念
11,603322,超讯通信,5G概念
12,603602,纵横通信,5G概念
13,000063,中兴通讯,5G概念
14,002093,国脉科技,5G概念
15,002104,恒宝股份,5G概念
16,002115,三维通信,5G概念
17,002148,北纬科技,5G概念
18,002194,武汉凡谷,5G概念
19,002261,拓维信息,5G概念
20,002281,光迅科技,5G概念
21,002313,日海通讯,5G概念
22,002316,键桥通讯,5G概念
23,002364,中恒电气,5G概念
24,002369,卓翼科技,5G概念
25,002417,三元达,5G概念
26,002446,盛路通信,5G概念
27,002491,通鼎互联,5G概念
28,002544,杰赛科技,5G概念
29,002881,美格智能,5G概念
30,300025,华星创业,5G概念
31,300038,梅泰诺,5G概念
32,300047,天源迪科,5G概念
33,300050,世纪鼎利,5G概念
34,300068,南都电源,5G概念
35,300077,国民技术,5G概念
36,300081,恒信东方,5G概念
37,300134,大富科技,5G概念
38,300250,初灵信息,5G概念
39,300288,朗玛信息,5G概念
40,300292,吴通控股,5G概念
41,300299,富春股份,5G概念
42,300310,宜通世纪,5G概念
43,300312,邦讯技术,5G概念
44,300565,科信技术,5G概念
45,300597,吉大通信,5G概念
46,300615,欣天科技,5G概念
47,600551,时代出版,IP变现
48,600576,祥源文化,IP变现
49,600593,大连圣亚,IP变现
50,600637,东方明珠,IP变现
51,600640,号百控股,IP变现
52,600652,游久游戏,IP变现
53,600715,文投控股,IP变现
54,600880,博瑞传播,IP变现
55,601098,中南传媒,IP变现
56,601599,鹿港文化,IP变现
57,000673,当代东方,IP变现
58,000793,华闻传媒,IP变现
59,000802,北京文化,IP变现
60,000892,欢瑞世纪,IP变现
61,002174,游族网络,IP变现
62,002175,东方网络,IP变现
63,002235,安妮股份,IP变现
64,002292,奥飞娱乐,IP变现
65,002343,慈文传媒,IP变现
66,002354,天神娱乐,IP变现
67,002425,凯撒文化,IP变现
68,002502,骅威文化,IP变现
69,002555,三七互娱,IP变现
70,002571,*ST德力,IP变现
71,002624,完美世界,IP变现
72,002699,美盛文化,IP变现
73,002712,思美传媒,IP变现
74,002717,岭南园林,IP变现
75,002739,万达电影,IP变现
76,300027,华谊兄弟,IP变现
77,300043,星辉娱乐,IP变现
78,300081,恒信东方,IP变现
79,300133,华策影视,IP变现
80,300144,宋城演艺,IP变现
81,300251,光线传媒,IP变现
82,300299,富春股份,IP变现
83,300315,掌趣科技,IP变现
84,300336,新文化,IP变现
85,300364,中文在线,IP变现
86,300418,昆仑万维,IP变现
87,300426,唐德影视,IP变现
88,300431,暴风集团,IP变现
89,600038,中直股份,军民融合
90,600068,葛洲坝,军民融合
91,600118,中国卫星,军民融合
92,600120,浙江东方,军民融合
93,600148,长春一东,军民融合
94,600150,中国船舶,军民融合
95,600151,航天机电,军民融合
96,600260,凯乐科技,军民融合
97,600316,洪都航空,军民融合
98,600343,航天动力,军民融合
99,600353,旭光股份,军民融合
100,600360,华微电子,军民融合
101,600363,联创光电,军民融合
102,600372,中航电子,军民融合
103,600416,湘电股份,军民融合
104,600480,凌云股份,军民融合
105,600482,中国动力,军民融合
106,600485,信威集团,军民融合
107,600495,晋西车轴,军民融合
108,600501,航天晨光,军民融合
109,600562,国睿科技,军民融合
110,600565,迪马股份,军民融合
111,600577,精达股份,军民融合
112,600590,泰豪科技,军民融合
113,600614,鹏起科技,军民融合
114,600698,湖南天雁,军民融合
115,600705,中航资本,军民融合
116,600734,实达集团,军民融合
117,600736,苏州高新,军民融合
118,600764,中电广通,军民融合
119,600765,中航重机,军民融合
120,600775,南京熊猫,军民融合
121,600783,鲁信创投,军民融合
122,600792,云煤能源,军民融合
123,600839,四川长虹,军民融合
124,600855,航天长峰,军民融合
125,600869,智慧能源,军民融合
126,600877,*ST嘉陵,军民融合
127,600879,航天电子,军民融合
128,600893,航发动力,军民融合
129,600967,内蒙一机,军民融合
130,601126,四方股份,军民融合
131,601208,东材科技,军民融合
132,603167,渤海轮渡,军民融合
133,603338,浙江鼎力,军民融合
134,603618,杭电股份,军民融合
135,603936,博敏电子,军民融合
136,000009,中国宝安,军民融合
137,000059,华锦股份,军民融合
138,000066,中国长城,军民融合
139,000519,中兵红箭,军民融合
140,000547,航天发展,军民融合
141,000561,烽火电子,军民融合
142,000687,华讯方舟,军民融合
143,000760,斯太尔,军民融合
144,000768,中航飞机,军民融合
145,000801,四川九洲,军民融合
146,000901,航天科技,军民融合
147,000955,欣龙控股,军民融合
148,001696,宗申动力,军民融合
149,002013,中航机电,军民融合
150,002023,海特高新,军民融合
151,002046,轴研科技,军民融合
152,002063,远光软件,军民融合
153,002065,东华软件,军民融合
154,002077,大港股份,军民融合
155,002089,新 海 宜,军民融合
156,002097,山河智能,军民融合
157,002111,威海广泰,军民融合
158,002147,新光圆成,军民融合
159,002151,北斗星通,军民融合
160,002171,楚江新材,军民融合
161,002179,中航光电,军民融合
162,002194,武汉凡谷,军民融合
163,002224,三 力 士,军民融合
164,002246,北化股份,军民融合
165,002253,川大智胜,军民融合
166,002254,泰和新材,军民融合
167,002268,卫 士 通,军民融合
168,002296,辉煌科技,军民融合
169,002300,太阳电缆,军民融合
170,002303,美盈森,军民融合
171,002309,中利集团,军民融合
172,002324,普利特,军民融合
173,002328,新朋股份,军民融合
174,002339,积成电子,军民融合
175,002342,巨力索具,军民融合
176,002361,神剑股份,军民融合
177,002368,太极股份,军民融合
178,002389,南洋科技,军民融合
179,002406,远东传动,军民融合
180,002413,雷科防务,军民融合
181,002414,高德红外,军民融合
182,002427,尤夫股份,军民融合
183,002438,江苏神通,军民融合
184,002439,启明星辰,军民融合
185,002446,盛路通信,军民融合
186,002465,海格通信,军民融合
187,002497,雅化集团,军民融合
188,002519,银河电子,军民融合
189,600378,天科股份,可燃冰
190,600583,海油工程,可燃冰
191,600871,石化油服,可燃冰
192,601168,西部矿业,可燃冰
193,601808,中海油服,可燃冰
194,603727,博迈科,可燃冰
195,000554,泰山石油,可燃冰
196,000852,石化机械,可燃冰
197,002140,东华科技,可燃冰
198,002207,*ST准油,可燃冰
199,002221,东华能源,可燃冰
200,002278,神开股份,可燃冰
201,002353,杰瑞股份,可燃冰
202,002554,惠博普,可燃冰
203,300084,海默科技,可燃冰
204,300191,潜能恒信,可燃冰
205,300309,吉艾科技,可燃冰
206,600196,复星医药,免疫治疗
207,600267,海正药业,免疫治疗
208,600568,中珠医疗,免疫治疗
209,600572,康恩贝,免疫治疗
210,600645,中源协和,免疫治疗
211,600851,海欣股份,免疫治疗
212,000504,南华生物,免疫治疗
213,000516,国际医学,免疫治疗
214,000806,银河生物,免疫治疗
215,002038,双鹭药业,免疫治疗
216,002399,海普瑞,免疫治疗
217,002605,姚记扑克,免疫治疗
218,300009,安科生物,免疫治疗
219,300016,北陆药业,免疫治疗
220,300030,阳普医疗,免疫治疗
221,300147,香雪制药,免疫治疗
222,300181,佐力药业,免疫治疗
223,300238,冠昊生物,免疫治疗
224,300272,开能环保,免疫治疗
225,300273,和佳股份,免疫治疗
226,300294,博雅生物,免疫治疗
227,600008,首创股份,雄安新区
228,600135,乐凯胶片,雄安新区
229,600149,*ST坊展,雄安新区
230,600155,宝硕股份,雄安新区
231,600230,沧州大化,雄安新区
232,600246,万通地产,雄安新区
233,600266,北京城建,雄安新区
234,600340,华夏幸福,雄安新区
235,600376,首开股份,雄安新区
236,600463,空港股份,雄安新区
237,600480,凌云股份,雄安新区
238,600482,中国动力,雄安新区
239,600550,保变电气,雄安新区
240,600717,天津港,雄安新区
241,600722,金牛化工,雄安新区
242,600787,中储股份,雄安新区
243,601000,唐山港,雄安新区
244,601258,庞大集团,雄安新区
245,601633,长城汽车,雄安新区
246,601992,金隅股份,雄安新区
247,603616,韩建河山,雄安新区
248,603969,银龙股份,雄安新区
249,000401,冀东水泥,雄安新区
250,000600,建投能源,雄安新区
251,000615,京汉股份,雄安新区
252,000638,万方发展,雄安新区
253,000687,华讯方舟,雄安新区
254,000709,河钢股份,雄安新区
255,000786,北新建材,雄安新区
256,000856,冀东装备,雄安新区
257,000897,津滨发展,雄安新区
258,000916,华北高速,雄安新区
