code,name,pe,totalassets,liquidassets,industry
300731,N新源,27.31,1663235600,419540000,化工合成材料
002917,N金奥博,28.84,1894885600,473805200,化学制品
300730,科创信息,28.37,1488994900,372304800,计算机应用
300590,移为通信,54.6,5360000000,1340000000,通信设备
603917,合力科技,38.8,3358880000,839720000,通用设备
002892,科力尔,46.82,3049728000,642048000,电气设备
300729,乐歌股份,51.43,3203500000,800875000,家用轻工
300689,澄天伟业,56.02,3057280000,764320000,其他电子
603922,金鸿顺,38.66,3715840000,928960000,汽车零部件
300725,药石科技,151.8,6660866700,1665216700,生物制品
603602,纵横通信,61.69,4003200000,1000800000,通信设备
300706,阿石创,135.3,6036016000,1509004000,光学光电子
300698,万马科技,90.92,3213320000,803330000,通信设备
002912,中新赛克,36.87,6595963000,1651463000,计算机应用
002845,同兴达,37.82,6157220900,1467840000,光学光电子
002824,和胜股份,52.66,3663000000,915750000,有色冶炼加工
603711,香飘飘,40.09,13948349000,1395148700,饮料制造
300678,中科信息,148.9,5897000000,1474250000,计算机应用
300514,友讯达,43.65,2872000000,718000000,通信设备
300711,广哈通信,63.07,3744768900,937517000,通信设备
002915,中欣氟材,25.6,1380960000,345240000,化学制品
603106,恒银金融,43.59,6442800000,1610700000,计算机设备
603813,原尚股份,48.67,2663105900,665851900,物流
300727,润禾材料,59.52,2763056000,690764000,化学制品
300597,吉大通信,91.92,4840800000,1210200000,通信设备
603648,畅联股份,53.18,7192687300,1798172300,物流
603848,好太太,39.13,7338300000,750300000,家用轻工
601086,国芳集团,44.54,5221440000,1254400000,零售
603978,深圳新星,60.85,7472000000,1868000000,有色冶炼加工
300676,华大基因,229.6,89106271000,8930671000,医疗器械服务
603722,阿科力,97.17,3489675000,873425000,化学制品
300710,万隆光电,57.28,2797392800,713475000,通信设备
300667,必创科技,70.17,2788000000,697000000,仪器仪表
300721,怡达股份,46.1,2899827000,725409000,化学制品
002907,华森制药,48.21,6837025400,684625400,化学制药
603882,金域医学,69.46,13768589000,2065207600,医疗器械服务
002863,今飞凯达,49.57,3515205000,880785000,汽车零部件
300700,岱勒新材,66.98,5287608000,1321902000,新材料
300671,富满电子,83.07,4140147500,1035547500,半导体及元件
603378,亚士创能,33.45,4205732000,1057910000,建筑材料
