code		name		
SZ002864	盘龙药业	
SH603963	大理药业	
SZ002349	精华制药	
SZ002737	葵花药业	
SH600557	康缘药业	
SH600329	中新药业	
SH600436	片仔癀		
SH600750	江中药业	
SZ000538	云南白药	
SH600993	马应龙		
SZ002166	莱茵生物	
SZ002873	新天药业	
SZ300181	佐力药业	
SH603998	方盛制药	
SZ000623	吉林敖东	
SH600085	同仁堂		
SZ300147	香雪制药	
SH600518	康美药业	
SH600572	康恩贝		
SH600351	亚宝药业	
SH603139	康惠制药	
SZ002433	太安堂		
SZ300519	新光药业	
SZ002275	桂林三金	
SH600479	千金药业	
SH600252	中恒集团	
SH600422	昆药集团	
SH600285	羚锐制药	
SZ002603	以岭药业	
SZ000650	仁和药业	
SZ002411	必康股份	
SH603858	步长制药	
SZ000423	东阿阿胶	
SH600594	益佰制药	
SZ002566	益盛药业	
SH600671	天目药业	
SH600535	天士力		
SH600222	太龙药业	
SH600381	青海春天	
SZ002198	嘉应制药	
SZ300158	振东制药	
SZ002644	佛慈制药	
SH600976	健民集团	
SZ300039	上海凯宝	
SZ002412	汉森制药	
SZ000999	华润三九	
SZ002817	黄山胶囊	
SZ002107	沃华医药	
SH600613	神奇制药	
SZ002287	奇正藏药	
SZ002118	紫鑫药业	
SH603567	珍宝岛		
SZ002424	贵州百灵	
SZ002750	龙津药业	
SZ000606	神州易桥	
SZ300534	陇神戎发	
SZ000590	启迪古汉	
SH600129	太极集团	
SZ002728	特一药业	
SZ002317	众生药业	
SZ300108	吉药控股	
SH600781	辅仁药业	
SH603896	寿仙谷		
SZ000989	九 芝 堂	
SZ000790	泰合健康	
SH600332	白云山		
SZ000766	通化金马	
SZ300049	福瑞股份	

