code		name		
SZ002923	润都股份	
SZ002907	华森制药	
SZ002422	科伦药业	
SZ002370	亚太药业	
SH600721	百花村		
SH600380	健康元		
SZ000931	中 关 村	
SZ300705	九典制药	
SH600216	浙江医药	
SH603676	卫信康		
SZ000153	丰原药业	
SZ002898	赛隆药业	
SZ000739	普洛药业	
SZ300267	尔康制药	
SH603811	诚意药业	
SH600267	海正药业	
SH600566	济川药业	
SH600276	恒瑞医药	
SZ300401	花园生物	
SH600789	鲁抗医药	
SZ300110	华仁药业	
SZ300194	福安药业	
SZ002399	海普瑞		
SH600812	华北制药	
SH603229	奥翔药业	
SZ000597	东北制药	
SH600420	现代制药	
SZ002900	哈三联		
SZ300723	一品红		
SZ002393	力生制药	
SH600513	联环药业	
SZ002821	凯莱英		
SZ000952	广济药业	
SZ000756	新华制药	
SZ002626	金达威		
SH600771	广誉远		
SZ002365	永安药业	
SH600488	天药股份	
SZ300026	红日药业	
SH603456	九洲药业	
SZ300016	北陆药业	
SZ002262	恩华药业	
SZ002102	冠福股份	
SZ002437	誉衡药业	
SZ002693	双成药业	
SH603168	莎普爱思	
SZ000788	北大医药	
SZ002826	易明医药	
SH600062	华润双鹤	
SZ000908	景峰医药	
SH603222	济民制药	
SH600079	人福医药	
SZ002099	海翔药业	
SZ300584	海辰药业	
SZ000813	德展健康	
SZ000915	山大华特	
SZ300573	兴齐眼药	
SZ002332	仙琚制药	
SZ300497	富祥股份	
SZ000990	诚志股份	
SZ300702	天宇股份	
SH603367	辰欣药业	
SZ300254	仟源医药	
SZ002653	海思科		
SH603669	灵康药业	
SZ002550	千红制药	
SZ300636	同和药业	
SZ002001	新 和 成	
SH603538	美诺华		
SZ000513	丽珠集团	
SZ300006	莱美药业	
SZ300363	博腾股份	
SZ300485	赛升药业	
SZ300255	常山药业	
SZ300199	翰宇药业	
SZ300558	贝达药业	
SZ300233	金城医药	
SZ300630	普利制药	
SZ002675	东诚药业	
SZ002019	亿帆医药	
SZ002294	信立泰		
SZ300452	山河药辅	
SH600521	华海药业	
SZ002773	康弘药业	
SZ002020	京新药业	
SH600664	哈药股份	
SH600829	人民同泰	
SH603520	司太立		
SZ000566	海南海药	
SZ300086	康芝药业	

