code		name		
SH603555	贵人鸟		
SZ002291	星期六		
SZ002687	乔治白		
SZ002293	罗莱生活	
SZ002029	七 匹 狼	
SH603196	日播时尚	
SZ002762	金发拉比	
SH601566	九牧王		
SH603518	维格娜丝	
SH600177	雅戈尔		
SH600630	龙头股份	
SZ002634	棒杰股份	
SH603958	哈森股份	
SH601718	际华集团	
SZ002486	嘉麟杰		
SH603001	奥康国际	
SH603116	红蜻蜓		
SZ300005	探路者		
SZ002503	搜于特		
SH600107	美尔雅		
SH600400	红豆股份	
SZ002494	华斯股份	
SH600137	浪莎股份	
SZ002776	柏堡龙		
SZ002780	三夫户外	
SH603877	太平鸟		
SZ002563	森马服饰	
SZ002485	希努尔		
SZ002763	汇洁股份	
SZ002832	比音勒芬	
SZ002699	美盛文化	
SH603839	安正时尚	
SH600272	开开实业	
SH603558	健盛集团	
SZ002269	美邦服饰	
SZ002154	报 喜 鸟	
SH600398	海澜之家	
SZ002612	朗姿股份	
SH603808	歌力思		
SH603608	天创时尚	
SZ002656	摩登大道	
SZ300591	万里马		
SZ002327	富安娜		
SZ002875	安奈儿		
SH603157	拉夏贝尔	
SH600146	商赢环球	
SH603365	水星家纺	
SZ002761	多喜爱		
SH603557	起步股份	
SZ002397	梦洁股份	
SZ002569	步森股份	
SH603587	地素时尚	

