code		name		
SZ300598	诚迈科技	
SZ300624	万兴科技	
SZ300550	和仁科技	
SZ300634	彩讯股份	
SZ002777	久远银海	
SZ300738	奥飞数据	
SZ300645	正元智慧	
SZ000662	天夏智慧	
SZ002380	科远股份	
SH600654	*ST中安		
SZ300282	汇冠股份	
SH603776	永安行		
SZ002421	达实智能	
SH603636	南威软件	
SZ300212	易华录		
SH603383	顶点软件	
SZ300096	易联众		
SZ300448	浩云科技	
SZ300513	恒泰实达	
SZ002609	捷顺科技	
SZ300330	华虹计通	
SZ002771	真视通		
SZ000158	常山北明	
SZ300074	华平股份	
SZ300182	捷成股份	
SH601519	*ST智慧		
SZ300523	辰安科技	
SH603528	多伦科技	
SZ002537	海联金汇	
SZ300002	神州泰岳	
SZ002530	金财互联	
SZ002512	达华智能	
SH603990	麦迪科技	
SZ002253	川大智胜	
SZ300253	卫宁健康	
SZ300235	方直科技	
SZ300479	神思电子	
SZ300561	汇金科技	
SZ300687	赛意信息	
SZ002373	千方科技	
SZ300369	绿盟科技	
SZ002912	中新赛克	
SZ300036	超图软件	
SH600571	信雅达		
SH600242	中昌数据	
SH603189	网达软件	
SZ002268	卫 士 通	
SZ002766	索菱股份	
SZ300383	光环新网	
SZ300365	恒华科技	
SZ300033	同花顺		
SZ300150	世纪瑞尔	
SZ002410	广联达		
SZ002405	四维图新	
SZ300663	科蓝软件	
SZ300541	先进数通	
SZ002298	中电鑫龙	
SZ300264	佳创视讯	
SZ300085	银之杰		
SZ300399	京天利		
SZ002657	中科金财	
SZ300469	信息发展	
SZ300532	今天国际	
SH600536	中国软件	
SZ300440	运达科技	
SZ300380	安硕信息	
SZ002195	二三四五	
SZ300608	思特奇		
SZ300167	迪威迅		
SZ300297	蓝盾股份	
SZ300384	三联虹普	
SZ000555	神州信息	
SZ300311	任子行		
SH600797	浙大网新	
SZ002331	皖通科技	
SZ002368	太极股份	
SH600476	湘邮科技	
SZ300079	数码科技	
SH603138	海量数据	
SZ300248	新开普		
SZ300010	立思辰		
SZ300579	数字认证	
SH600756	浪潮软件	
SH600446	金证股份	
SZ002296	辉煌科技	
SZ300020	银江股份	
SZ300678	中科信息	
SZ300465	高伟达		
SZ300245	天玑科技	
SZ002642	荣之联		
SZ300419	浩丰科技	
SZ300730	科创信息	
SZ300588	熙菱信息	
SZ002362	汉王科技	
SH600718	东软集团	
SH600845	宝信软件	
SZ002065	东华软件	
SZ002232	启明信息	
SZ300379	东方通		
SZ300520	科大国创	
SZ002908	德生科技	
SH603232	格尔软件	
SH600602	云赛智联	
SZ300324	旋极信息	
SZ300605	恒锋信息	
SZ300378	鼎捷软件	
SZ300277	海联讯		
SH603881	数据港		
SZ300339	润和软件	
SZ002123	梦网集团	
SZ300075	数字政通	
SZ002230	科大讯飞	
SH603039	泛微网络	
SZ300287	飞利信		
SZ300044	赛为智能	
SH600588	用友网络	
SZ300468	四方精创	
SZ300348	长亮科技	
SZ002401	中远海科	
SZ002474	榕基软件	
SH603933	睿能科技	
SZ002280	联络互动	
SZ300366	创意信息	
SZ300170	汉得信息	
SZ300231	银信科技	
SZ300559	佳发安泰	
SZ002649	博彦科技	
SZ002439	启明星辰	
SZ002063	远光软件	
SZ300188	美亚柏科	
SH600410	华胜天成	
SZ300525	博思软件	
SZ300209	天泽信息	
SZ300542	新晨科技	
SZ300508	维宏股份	
SZ300229	拓尔思		
SH603918	金桥信息	
SZ002153	石基信息	
SZ300051	三五互联	
SZ300168	万达信息	
SH600271	航天信息	
SZ300609	汇纳科技	
SZ300451	创业软件	
SZ300300	汉鼎宇佑	
SH600570	恒生电子	
SH600728	佳都科技	
SZ300377	赢时胜		
SZ002279	久其软件	
SZ300047	天源迪科	
SZ300166	东方国信	
SZ300352	北信源		
SZ300271	华宇软件	
SZ300682	朗新科技	
SZ300496	中科创达	
SZ000606	神州易桥	
SZ300038	梅泰诺		
SZ300290	荣科科技	
SZ300455	康拓红外	
SZ300659	中孚信息	
SH600701	工大高新	
SH603508	思维列控	

