code		name		
SZ000019	深深宝Ａ	
SZ000568	泸州老窖	
SZ000596	古井贡酒	
SZ000729	燕京啤酒	
SZ000752	西藏发展	
SZ000799	酒鬼酒		
SZ000848	承德露露	
SZ000858	五 粮 液	
SZ000860	顺鑫农业	
SZ000869	张  裕Ａ	
SZ000929	兰州黄河	
SZ000995	皇台酒业	
SZ002304	洋河股份	
SZ002387	黑牛食品	
SZ002461	珠江啤酒	
SZ002646	青青稞酒	
SH600059	古越龙山	
SH600084	中葡股份	
SH600132	重庆啤酒	
SH600197	伊力特		
SH600199	金种子酒	
SH600238	海南椰岛	
SH600300	维维股份	
SH600365	通葡股份	
SH600519	贵州茅台	
SH600543	莫高股份	
SH600559	老白干酒	
SH600573	惠泉啤酒	
SH600600	青岛啤酒	
SH600616	金枫酒业	
SH600702	沱牌舍得	
SH600779	水井坊		
SH600809	山西汾酒	
SH601579	会稽山		
SH603198	迎驾贡酒	
SH603369	今世缘		
SH603589	口子窖		
SH603711	香飘飘		
SH603779	威龙股份	
SH603919	金徽酒		

