,code,date,p_change
0,002535,2017-12-05,10.08
1,000503,2017-12-05,9.99
2,000503,2017-12-04,9.99
3,600053,2017-12-05,9.99
4,600691,2017-07-24,10.03
5,002302,2017-11-29,9.98
6,002302,2017-11-28,10.03
7,002302,2017-11-27,9.99
8,002302,2017-08-03,9.99
9,002302,2017-07-19,10.0
10,600130,2017-07-06,10.08
11,601116,2017-08-15,10.01
12,002323,2017-12-04,10.0
13,002323,2017-11-07,9.98
14,002323,2017-10-30,9.98
15,002323,2017-10-10,10.06
16,002417,2017-08-25,10.03
17,000901,2017-11-22,10.0
18,002886,2017-11-28,9.99
19,002886,2017-11-08,9.99
20,002886,2017-11-07,9.99
21,002886,2017-11-06,10.02
22,002886,2017-08-30,10.01
23,002886,2017-08-28,9.99
24,002886,2017-07-07,10.01
25,002886,2017-07-06,10.0
26,002886,2017-07-05,9.99
27,002886,2017-07-04,9.99
28,002886,2017-07-03,10.0
29,600722,2017-12-04,10.01
30,600722,2017-08-01,10.05
31,601155,2017-11-29,10.0
32,002336,2017-12-01,9.98
33,002336,2017-11-30,9.98
34,603797,2017-10-23,9.98
35,603797,2017-10-16,10.01
36,603797,2017-10-13,9.99
37,002770,2017-08-09,10.04
38,002670,2017-11-21,10.01
39,002670,2017-08-29,10.02
40,002670,2017-08-28,9.98
41,600643,2017-08-02,10.01
42,601336,2017-08-01,10.01
43,603677,2017-11-29,10.01
44,603677,2017-11-28,9.99
45,600139,2017-07-25,9.97
46,600139,2017-07-06,10.05
47,601088,2017-09-01,9.99
48,002214,2017-12-01,10.06
49,002214,2017-11-23,10.01
50,002214,2017-11-22,9.96
51,002214,2017-11-21,9.94
52,603938,2017-11-09,10.01
53,603938,2017-11-08,9.98
54,603938,2017-08-31,10.02
55,603938,2017-08-30,10.02
56,603938,2017-07-07,10.0
57,603938,2017-07-06,10.02
58,603938,2017-07-05,9.98
59,603938,2017-07-04,10.01
60,603938,2017-07-03,10.0
61,002053,2017-12-04,9.98
62,002129,2017-12-01,10.03
63,002129,2017-11-30,10.04
64,002129,2017-11-29,9.95
65,600958,2017-08-28,10.03
66,600958,2017-07-19,10.02
67,601618,2017-09-06,10.06
68,600018,2017-10-20,10.06
69,002278,2017-11-13,10.01
70,000672,2017-11-29,9.99
71,000672,2017-07-18,10.0
72,601766,2017-11-22,9.94
73,600460,2017-12-01,9.97
74,600460,2017-11-28,10.04
75,600460,2017-11-10,10.04
76,600460,2017-09-29,10.03
77,600460,2017-09-20,10.02
78,600460,2017-09-18,9.97
79,600460,2017-08-15,10.05
80,603909,2017-11-27,9.95
81,603909,2017-08-22,10.0
82,603909,2017-08-03,10.0
83,002781,2017-11-01,10.0
84,603286,2017-08-28,9.99
85,603286,2017-07-11,9.99
86,603286,2017-07-10,10.01
87,603286,2017-07-07,10.02
88,603286,2017-07-06,9.98
89,603286,2017-07-05,10.01
90,603286,2017-07-04,9.99
91,603286,2017-07-03,10.0
92,600763,2017-10-24,10.0
93,600763,2017-10-10,10.0
94,002840,2017-11-21,10.02
95,002077,2017-10-24,10.03
96,002077,2017-10-23,10.03
97,000711,2017-11-20,10.04
98,600699,2017-09-11,10.01
99,000818,2017-08-15,10.02
100,002736,2017-07-19,10.03
101,603501,2017-12-01,9.92
102,603501,2017-11-10,10.01
103,603501,2017-11-09,10.01
104,603501,2017-11-01,9.99
105,603501,2017-10-12,10.01
106,603501,2017-10-11,10.0
107,603501,2017-10-10,9.99
108,603501,2017-10-09,10.0
109,603501,2017-09-28,10.01
110,603501,2017-09-27,10.03
111,002001,2017-11-21,10.01
112,000877,2017-07-03,10.02
113,000759,2017-07-26,9.97
114,000759,2017-07-10,10.0
115,000677,2017-12-01,10.05
116,600779,2017-07-28,10.0
117,000923,2017-11-27,9.99
118,000923,2017-08-08,10.02
119,000812,2017-07-13,9.99
120,600677,2017-11-22,10.04
121,600677,2017-08-04,10.01
122,002691,2017-11-07,10.0
123,002118,2017-11-09,10.0
124,600675,2017-11-21,9.95
125,603626,2017-11-24,9.99
126,000002,2017-11-29,9.98
127,000002,2017-11-21,10.0
128,603177,2017-10-16,10.0
129,603177,2017-10-13,9.99
130,603177,2017-08-24,10.03
131,603177,2017-08-16,9.99
132,002652,2017-10-20,9.98
133,002652,2017-10-19,10.04
134,002652,2017-09-26,9.96
135,002192,2017-10-24,10.0
136,002192,2017-10-20,10.0
137,002192,2017-09-13,10.01
138,002192,2017-08-31,10.0
139,002192,2017-08-01,10.02
140,002721,2017-11-10,9.97
141,002288,2017-11-15,10.06
142,601699,2017-08-09,9.97
143,002231,2017-10-12,9.97
144,600794,2017-11-30,10.05
145,600794,2017-09-05,10.1
146,000736,2017-10-24,10.0
147,000736,2017-09-19,10.01
148,000736,2017-09-15,9.98
149,000736,2017-09-14,9.98
