,code,begin,end,status,begin_price,end_price,days,p_change
16,002555,2016-01-04,2017-01-16,down,24.135,14.635,378,-39.362
17,002555,2017-01-16,2017-06-12,up,14.635,27.19,147,85.787
18,002555,2017-06-12,2017-12-06,down,27.19,18.5,177,-31.96
19,002555,2017-12-06,2017-12-11,up,18.5,21.24,5,14.811
20,002607,2016-01-04,2017-12-06,down,8.764,3.97,702,-54.701
21,002607,2017-12-06,2017-12-11,up,3.97,4.27,5,7.557
12,600373,2016-01-04,2016-02-29,down,23.483,16.322,56,-30.494
13,600373,2016-02-29,2017-08-16,up,16.322,26.8,534,64.196
14,600373,2017-08-16,2017-12-05,down,26.8,17.35,111,-35.261
15,600373,2017-12-05,2017-12-11,up,17.35,18.04,6,3.977
8,600410,2016-01-04,2017-05-11,down,18.806,7.874,493,-58.13
9,600410,2017-05-11,2017-10-09,up,7.874,11.65,151,47.955
10,600410,2017-10-09,2017-12-05,down,11.65,9.13,57,-21.631
11,600410,2017-12-05,2017-12-11,up,9.13,9.98,6,9.31
2,601890,2016-01-04,2016-01-05,down,13.343,10.69,1,-19.883
1,601890,2016-01-05,2016-01-06,up,10.69,13.66,1,27.783
0,601890,2016-01-06,2017-11-20,down,13.66,6.41,684,-53.075
3,601890,2017-11-20,2017-11-22,up,6.41,7.1,2,10.764
4,601890,2017-11-22,2017-12-06,down,7.1,6.5,14,-8.451
5,601890,2017-12-06,2017-12-07,up,6.5,6.85,1,5.385
6,601890,2017-12-07,2017-12-08,down,6.85,6.66,1,-2.774
7,601890,2017-12-08,2017-12-11,up,6.66,6.75,3,1.351
