,code,begin,end,status,begin_price,end_price,days,p_change
2966,000001,2016-01-04,2016-02-29,down,9.731,7.62,56,-21.694
2967,000001,2016-02-29,2017-11-22,up,7.62,15.24,632,100.0
2968,000001,2017-11-22,2017-12-06,down,15.24,13.08,14,-14.173
1286,000002,2016-07-04,2016-07-20,down,20.412,15.538,16,-23.878
1287,000002,2016-07-20,2017-11-29,up,15.538,33.83,497,117.724
1288,000002,2017-11-29,2017-12-04,down,33.83,29.9,5,-11.617
1289,000002,2017-12-04,2017-12-05,up,29.9,31.48,1,5.284
1290,000002,2017-12-05,2017-12-06,down,31.48,30.77,1,-2.255
11941,000004,2016-01-04,2016-01-27,down,46.6,25.8,23,-44.635
11940,000004,2016-01-27,2016-11-17,up,25.8,48.49,295,87.946
11939,000004,2016-11-17,2017-07-18,down,48.49,20.3,243,-58.136
11942,000004,2017-07-18,2017-11-22,up,20.3,31.44,127,54.877
11943,000004,2017-11-22,2017-12-06,down,31.44,22.73,14,-27.704
10465,000005,2016-01-04,2017-12-06,down,10.0,3.94,702,-60.6
2962,000006,2016-01-04,2016-01-27,down,11.098,6.445,23,-41.926
2963,000006,2016-01-27,2016-10-12,up,6.445,10.73,259,66.486
2964,000006,2016-10-12,2017-05-11,down,10.73,7.457,211,-30.503
2965,000006,2017-05-11,2017-09-08,up,7.457,9.85,120,32.091
2955,000007,2016-07-15,2016-07-28,down,14.27,10.331,13,-27.603
2956,000007,2016-07-28,2016-11-08,up,10.331,19.095,103,84.832
2957,000007,2016-11-08,2017-07-18,down,19.095,12.85,252,-32.705
2958,000007,2017-07-18,2017-08-02,up,12.85,17.6,15,36.965
2959,000007,2017-08-02,2017-09-08,down,17.6,14.97,37,-14.943
2960,000007,2017-09-08,2017-09-28,up,14.97,17.25,20,15.23
2961,000007,2017-09-28,2017-09-29,down,17.25,16.66,1,-3.42
1793,000008,2016-01-04,2016-03-01,down,11.863,7.09,57,-40.234
1792,000008,2016-03-01,2016-06-08,up,7.09,12.473,99,75.924
1791,000008,2016-06-08,2017-05-24,down,12.473,6.84,350,-45.162
1794,000008,2017-05-24,2017-10-26,up,6.84,9.73,155,42.251
1795,000008,2017-10-26,2017-11-27,down,9.73,8.18,32,-15.93
1796,000008,2017-11-27,2017-12-01,up,8.18,8.74,4,6.846
1797,000008,2017-12-01,2017-12-05,down,8.74,8.4,4,-3.89
1798,000008,2017-12-05,2017-12-06,up,8.4,8.5,1,1.19
7425,000009,2016-01-04,2017-05-23,down,13.212,7.094,505,-46.306
7426,000009,2017-05-23,2017-09-12,up,7.094,9.98,112,40.682
7427,000009,2017-09-12,2017-12-05,down,9.98,7.18,84,-28.056
7428,000009,2017-12-05,2017-12-06,up,7.18,7.29,1,1.532
4661,000010,2016-01-04,2017-06-02,down,10.2,4.57,515,-55.196
4662,000010,2017-06-02,2017-10-23,up,4.57,7.7,143,68.49
4663,000010,2017-10-23,2017-12-06,down,7.7,5.14,44,-33.247
6278,000011,2016-01-04,2016-01-27,down,14.353,8.49,23,-40.849
6279,000011,2016-01-27,2017-09-19,up,8.49,22.22,601,161.72
6280,000011,2017-09-19,2017-12-05,down,22.22,16.25,77,-26.868
6281,000011,2017-12-05,2017-12-06,up,16.25,16.71,1,2.831
10857,000012,2016-01-04,2016-01-18,down,11.271,7.567,14,-32.863
10856,000012,2016-01-18,2016-11-23,up,7.567,13.541,310,78.948
10855,000012,2016-11-23,2017-05-24,down,13.541,7.364,182,-45.617
10858,000012,2017-05-24,2017-11-30,up,7.364,9.59,190,30.228
10859,000012,2017-11-30,2017-12-06,down,9.59,8.84,6,-7.821
9147,000014,2016-01-04,2016-01-14,down,22.794,13.959,10,-38.76
9146,000014,2016-01-14,2016-11-16,up,13.959,23.856,307,70.9
9145,000014,2016-11-16,2017-12-06,down,23.856,11.7,385,-50.956
9854,000016,2016-01-04,2016-01-29,down,6.91,3.94,25,-42.981
9855,000016,2016-01-29,2017-11-10,up,3.94,7.6,651,92.893
9856,000016,2017-11-10,2017-12-06,down,7.6,6.0,26,-21.053
3803,000017,2016-01-04,2016-01-14,down,13.98,8.33,10,-40.415
3802,000017,2016-01-14,2016-02-19,up,8.33,15.5,36,86.074
3801,000017,2016-02-19,2017-11-22,down,15.5,6.35,642,-59.032
3804,000017,2017-11-22,2017-11-23,up,6.35,6.8,1,7.087
3805,000017,2017-11-23,2017-12-05,down,6.8,6.51,12,-4.265
3806,000017,2017-12-05,2017-12-06,up,6.51,6.61,1,1.536
4387,000018,2016-01-04,2016-01-18,down,12.961,8.365,14,-35.46
4386,000018,2016-01-18,2016-04-08,up,8.365,14.955,81,78.781
4385,000018,2016-04-08,2017-11-20,down,14.955,6.65,591,-55.533
4388,000018,2017-11-20,2017-11-23,up,6.65,7.29,3,9.624
4389,000018,2017-11-23,2017-11-27,down,7.29,6.88,4,-5.624
4390,000018,2017-11-27,2017-12-01,up,6.88,7.21,4,4.797
4391,000018,2017-12-01,2017-12-06,down,7.21,7.0,5,-2.913
2947,000019,2016-01-04,2016-01-27,down,10.471,5.794,23,-44.666
2948,000019,2016-01-27,2016-11-07,up,5.794,19.197,285,231.326
2949,000019,2016-11-07,2017-06-02,down,19.197,9.236,207,-51.888
2950,000019,2017-06-02,2017-06-12,up,9.236,13.818,10,49.61
2951,000019,2017-06-12,2017-07-17,down,13.818,10.31,35,-25.387
2952,000019,2017-07-17,2017-08-10,up,10.31,12.7,24,23.181
2953,000019,2017-08-10,2017-08-11,down,12.7,11.56,1,-8.976
2954,000019,2017-08-11,2017-08-21,up,11.56,12.15,10,5.104
10854,000020,2016-01-04,2016-01-05,down,31.09,25.21,1,-18.913
10853,000020,2016-01-05,2016-01-06,up,25.21,31.5,1,24.95
10852,000020,2016-01-06,2017-12-06,down,31.5,13.3,700,-57.778
9259,000021,2016-01-04,2016-01-28,down,11.991,7.434,24,-38.004
9260,000021,2016-01-28,2016-08-19,up,7.434,12.15,204,63.438
9261,000021,2016-08-19,2017-04-27,down,12.15,7.616,251,-37.317
9262,000021,2017-04-27,2017-11-13,up,7.616,10.69,200,40.362
9263,000021,2017-11-13,2017-12-05,down,10.69,8.71,22,-18.522
9264,000021,2017-12-05,2017-12-06,up,8.71,9.13,1,4.822
2942,000022,2016-01-04,2016-01-27,down,18.452,11.592,23,-37.178
2943,000022,2016-01-27,2017-06-21,up,11.592,33.391,511,188.052
2944,000022,2017-06-21,2017-11-06,down,33.391,23.7,138,-29.023
2945,000022,2017-11-06,2017-11-07,up,23.7,26.25,1,10.759
