,code,begin,end,status,begin_price,end_price,days,p_change
2,000018,2016-01-04,2016-01-18,down,12.961,8.365,14,-35.46
1,000018,2016-01-18,2016-04-08,up,8.365,14.955,81,78.781
0,000018,2016-04-08,2017-11-20,down,14.955,6.65,591,-55.533
3,000018,2017-11-20,2017-11-23,up,6.65,7.29,3,9.624
4,000018,2017-11-23,2017-12-15,down,7.29,6.68,22,-8.368
5,000018,2017-12-15,2017-12-17,up,6.68,6.7,2,0.299
8,000519,2016-01-04,2016-01-05,down,18.45,15.23,1,-17.453
7,000519,2016-01-05,2016-01-06,up,15.23,19.2,1,26.067
6,000519,2016-01-06,2017-12-06,down,19.2,7.76,700,-59.583
9,000519,2017-12-06,2017-12-15,up,7.76,10.49,9,35.18
10,000519,2017-12-15,2017-12-17,down,10.49,10.17,2,-3.051
11,000635,2016-01-04,2016-01-27,down,14.82,9.395,23,-36.606
12,000635,2016-01-27,2016-12-29,up,9.395,34.13,337,263.278
13,000635,2016-12-29,2017-05-24,down,34.13,13.68,146,-59.918
14,000635,2017-05-24,2017-08-04,up,13.68,22.56,72,64.912
15,000635,2017-08-04,2017-12-06,down,22.56,14.0,124,-37.943
16,000635,2017-12-06,2017-12-14,up,14.0,15.05,8,7.5
17,000635,2017-12-14,2017-12-15,down,15.05,14.65,1,-2.658
18,000635,2017-12-15,2017-12-17,up,14.65,14.74,2,0.614
52,000678,2016-01-04,2016-01-05,down,12.58,10.3,1,-18.124
51,000678,2016-01-05,2016-01-06,up,10.3,13.12,1,27.379
50,000678,2016-01-06,2016-01-28,down,13.12,6.26,22,-52.287
53,000678,2016-01-28,2017-01-06,up,6.26,16.62,344,165.495
54,000678,2017-01-06,2017-06-02,down,16.62,7.2,147,-56.679
55,000678,2017-06-02,2017-10-12,up,7.2,9.5,132,31.944
56,000678,2017-10-12,2017-11-20,down,9.5,7.42,39,-21.895
57,000678,2017-11-20,2017-11-29,up,7.42,8.3,9,11.86
58,000678,2017-11-29,2017-11-30,down,8.3,8.06,1,-2.892
19,002114,2016-01-04,2016-02-01,down,20.0,13.02,28,-34.9
20,002114,2016-02-01,2016-07-22,up,13.02,34.6,172,165.745
21,002114,2016-07-22,2017-04-24,down,34.6,16.81,276,-51.416
22,002114,2017-04-24,2017-08-09,up,16.81,23.95,107,42.475
23,002114,2017-08-09,2017-12-15,down,23.95,17.18,128,-28.267
24,002114,2017-12-15,2017-12-17,up,17.18,17.61,2,2.503
25,002115,2016-01-04,2017-07-18,down,15.484,8.56,561,-44.717
26,002115,2017-07-18,2017-10-12,up,8.56,13.01,86,51.986
27,002115,2017-10-12,2017-11-20,down,13.01,9.31,39,-28.44
28,002115,2017-11-20,2017-11-21,up,9.31,10.58,1,13.641
29,002115,2017-11-21,2017-11-27,down,10.58,9.6,6,-9.263
30,002115,2017-11-27,2017-12-08,up,9.6,10.56,11,10.0
31,002115,2017-12-08,2017-12-15,down,10.56,9.86,7,-6.629
32,002115,2017-12-15,2017-12-17,up,9.86,9.91,2,0.507
33,002158,2016-01-04,2016-01-27,down,12.105,7.985,23,-34.036
34,002158,2016-01-27,2017-05-17,up,7.985,23.572,476,195.204
35,002158,2017-05-17,2017-12-05,down,23.572,10.9,202,-53.759
36,002158,2017-12-05,2017-12-15,up,10.9,12.1,10,11.009
37,002158,2017-12-15,2017-12-17,down,12.1,11.91,2,-1.57
38,002620,2016-01-04,2016-01-14,down,15.426,9.186,10,-40.451
39,002620,2016-01-14,2016-11-25,up,9.186,30.472,316,231.722
40,002620,2016-11-25,2017-12-05,down,30.472,9.9,375,-67.511
41,002620,2017-12-05,2017-12-12,up,9.9,10.24,7,3.434
42,002620,2017-12-12,2017-12-15,down,10.24,9.95,3,-2.832
43,002620,2017-12-15,2017-12-17,up,9.95,9.96,2,0.101
73,600570,2016-01-04,2016-03-01,down,60.409,33.362,57,-44.773
74,600570,2016-03-01,2016-06-06,up,33.362,71.713,97,114.954
75,600570,2016-06-06,2017-05-11,down,71.713,35.35,339,-50.706
