,code,begin,end,status,begin_price,end_price,days,p_change
0,000507,2016-01-04,2016-01-27,down,7.352,4.944,23,-32.753
1,000507,2016-01-27,2017-06-20,up,4.944,14.09,510,184.992
2,000507,2017-06-20,2017-12-06,down,14.09,9.45,169,-32.931
3,000507,2017-12-06,2017-12-14,up,9.45,10.13,8,7.196
6,000593,2016-01-04,2016-01-18,down,14.31,8.6,14,-39.902
5,000593,2016-01-18,2016-10-10,up,8.6,15.0,266,74.419
4,000593,2016-10-10,2017-07-17,down,15.0,7.95,280,-47.0
7,000593,2017-07-17,2017-10-09,up,7.95,12.29,84,54.591
8,000593,2017-10-09,2017-11-27,down,12.29,8.22,49,-33.116
9,000593,2017-11-27,2017-12-14,up,8.22,9.27,17,12.774
10,000635,2016-01-04,2016-01-27,down,14.82,9.395,23,-36.606
11,000635,2016-01-27,2016-12-29,up,9.395,34.13,337,263.278
12,000635,2016-12-29,2017-05-24,down,34.13,13.68,146,-59.918
13,000635,2017-05-24,2017-08-04,up,13.68,22.56,72,64.912
14,000635,2017-08-04,2017-12-06,down,22.56,14.0,124,-37.943
15,000635,2017-12-06,2017-12-14,up,14.0,14.82,8,5.857
16,300397,2016-01-04,2017-12-05,down,42.175,17.69,701,-58.056
17,300397,2017-12-05,2017-12-08,up,17.69,20.28,3,14.641
18,300397,2017-12-08,2017-12-12,down,20.28,18.77,4,-7.446
19,300397,2017-12-12,2017-12-13,up,18.77,19.46,1,3.676
20,300397,2017-12-13,2017-12-14,down,19.46,19.05,1,-2.107
21,600405,2016-01-04,2017-12-06,down,14.624,6.38,702,-56.373
22,600405,2017-12-06,2017-12-12,up,6.38,6.68,6,4.702
23,600405,2017-12-12,2017-12-14,down,6.68,6.45,2,-3.443
26,601890,2016-01-04,2016-01-05,down,13.343,10.69,1,-19.883
25,601890,2016-01-05,2016-01-06,up,10.69,13.66,1,27.783
24,601890,2016-01-06,2017-11-20,down,13.66,6.41,684,-53.075
27,601890,2017-11-20,2017-11-22,up,6.41,7.1,2,10.764
28,601890,2017-11-22,2017-12-06,down,7.1,6.5,14,-8.451
29,601890,2017-12-06,2017-12-07,up,6.5,6.85,1,5.385
30,601890,2017-12-07,2017-12-14,down,6.85,6.63,7,-3.212
