,code,begin,end,status,begin_price,end_price,days,p_change
2,000018,2016-01-04,2016-01-18,down,12.961,8.365,14,-35.46
1,000018,2016-01-18,2016-04-08,up,8.365,14.955,81,78.781
0,000018,2016-04-08,2017-11-20,down,14.955,6.65,591,-55.533
3,000018,2017-11-20,2017-11-23,up,6.65,7.29,3,9.624
4,000018,2017-11-23,2017-11-27,down,7.29,6.88,4,-5.624
5,000018,2017-11-27,2017-12-01,up,6.88,7.21,4,4.797
6,000018,2017-12-01,2017-12-06,down,7.21,6.88,5,-4.577
7,000018,2017-12-06,2017-12-08,up,6.88,7.04,2,2.326
8,000018,2017-12-08,2017-12-11,down,7.04,7.02,3,-0.284
11,000519,2016-01-04,2016-01-05,down,18.45,15.23,1,-17.453
10,000519,2016-01-05,2016-01-06,up,15.23,19.2,1,26.067
9,000519,2016-01-06,2017-12-06,down,19.2,7.76,700,-59.583
12,000519,2017-12-06,2017-12-08,up,7.76,9.67,2,24.613
13,000519,2017-12-08,2017-12-11,down,9.67,9.29,3,-3.93
14,000635,2016-01-04,2016-01-27,down,14.82,9.395,23,-36.606
15,000635,2016-01-27,2016-12-29,up,9.395,34.13,337,263.278
16,000635,2016-12-29,2017-05-24,down,34.13,13.68,146,-59.918
17,000635,2017-05-24,2017-08-04,up,13.68,22.56,72,64.912
18,000635,2017-08-04,2017-12-06,down,22.56,14.0,124,-37.943
19,000635,2017-12-06,2017-12-11,up,14.0,14.88,5,6.286
44,000678,2016-01-04,2016-01-05,down,12.58,10.3,1,-18.124
43,000678,2016-01-05,2016-01-06,up,10.3,13.12,1,27.379
42,000678,2016-01-06,2016-01-28,down,13.12,6.26,22,-52.287
45,000678,2016-01-28,2017-01-06,up,6.26,16.62,344,165.495
46,000678,2017-01-06,2017-06-02,down,16.62,7.2,147,-56.679
47,000678,2017-06-02,2017-10-12,up,7.2,9.5,132,31.944
48,000678,2017-10-12,2017-11-20,down,9.5,7.42,39,-21.895
49,000678,2017-11-20,2017-11-29,up,7.42,8.3,9,11.86
50,000678,2017-11-29,2017-11-30,down,8.3,8.06,1,-2.892
20,002114,2016-01-04,2016-02-01,down,20.0,13.02,28,-34.9
21,002114,2016-02-01,2016-07-22,up,13.02,34.6,172,165.745
22,002114,2016-07-22,2017-04-24,down,34.6,16.81,276,-51.416
23,002114,2017-04-24,2017-08-09,up,16.81,23.95,107,42.475
24,002114,2017-08-09,2017-12-05,down,23.95,17.19,118,-28.225
25,002114,2017-12-05,2017-12-08,up,17.19,17.76,3,3.316
26,002115,2016-01-04,2017-07-18,down,15.484,8.56,561,-44.717
27,002115,2017-07-18,2017-10-12,up,8.56,13.01,86,51.986
28,002115,2017-10-12,2017-11-20,down,13.01,9.31,39,-28.44
29,002115,2017-11-20,2017-11-21,up,9.31,10.58,1,13.641
30,002115,2017-11-21,2017-11-27,down,10.58,9.6,6,-9.263
31,002115,2017-11-27,2017-12-08,up,9.6,10.56,11,10.0
32,002115,2017-12-08,2017-12-11,down,10.56,10.37,3,-1.799
33,002158,2016-01-04,2016-01-27,down,12.105,7.985,23,-34.036
34,002158,2016-01-27,2017-05-17,up,7.985,23.572,476,195.204
35,002158,2017-05-17,2017-12-05,down,23.572,10.9,202,-53.759
36,002158,2017-12-05,2017-12-06,up,10.9,11.58,1,6.239
37,002158,2017-12-06,2017-12-08,down,11.58,11.48,2,-0.864
68,600570,2016-01-04,2016-03-01,down,60.409,33.362,57,-44.773
69,600570,2016-03-01,2016-06-06,up,33.362,71.713,97,114.954
70,600570,2016-06-06,2017-05-11,down,71.713,35.35,339,-50.706
71,600570,2017-05-11,2017-09-07,up,35.35,58.55,119,65.629
72,600570,2017-09-07,2017-12-05,down,58.55,42.88,89,-26.763
73,600570,2017-12-05,2017-12-11,up,42.88,48.53,6,13.176
40,600831,2016-01-04,2016-01-29,down,15.866,9.034,25,-43.061
39,600831,2016-01-29,2016-07-27,up,9.034,16.832,180,86.318
38,600831,2016-07-27,2017-12-06,down,16.832,8.01,497,-52.412
