,code,begin,end,status,begin_price,end_price,days,p_change
487,000007,2016-07-15,2016-07-28,down,14.27,10.331,13,-27.603
488,000007,2016-07-28,2016-11-08,up,10.331,19.095,103,84.832
489,000007,2016-11-08,2017-07-18,down,19.095,12.85,252,-32.705
490,000007,2017-07-18,2017-08-02,up,12.85,17.6,15,36.965
491,000007,2017-08-02,2017-09-08,down,17.6,14.97,37,-14.943
492,000007,2017-09-08,2017-09-28,up,14.97,17.25,20,15.23
493,000007,2017-09-28,2017-09-29,down,17.25,16.66,1,-3.42
291,000156,2016-01-04,2017-12-14,down,33.313,12.4,710,-62.777
292,000156,2017-12-14,2017-12-15,up,12.4,12.61,1,1.694
293,000156,2017-12-15,2017-12-17,down,12.61,12.49,2,-0.952
364,000158,2016-01-04,2017-12-05,down,15.467,7.77,701,-49.764
365,000158,2017-12-05,2017-12-11,up,7.77,9.17,6,18.018
366,000158,2017-12-11,2017-12-15,down,9.17,8.34,4,-9.051
367,000158,2017-12-15,2017-12-17,up,8.34,8.38,2,0.48
329,000333,2016-01-04,2016-01-27,down,20.708,15.697,23,-24.198
330,000333,2016-01-27,2017-11-22,up,15.697,57.93,665,269.051
331,000333,2017-11-22,2017-12-07,down,57.93,49.05,15,-15.329
332,000333,2017-12-07,2017-12-13,up,49.05,55.1,6,12.334
333,000333,2017-12-13,2017-12-15,down,55.1,53.13,2,-3.575
334,000333,2017-12-15,2017-12-17,up,53.13,53.7,2,1.073
57,000530,2016-01-04,2016-01-28,down,8.867,5.454,24,-38.491
56,000530,2016-01-28,2017-03-15,up,5.454,9.446,412,73.194
55,000530,2017-03-15,2017-12-06,down,9.446,5.36,266,-43.256
58,000530,2017-12-06,2017-12-08,up,5.36,5.63,2,5.037
59,000530,2017-12-08,2017-12-15,down,5.63,5.42,7,-3.73
60,000530,2017-12-15,2017-12-17,up,5.42,5.54,2,2.214
455,000555,2016-01-04,2017-06-02,down,42.972,15.16,515,-64.721
456,000555,2017-06-02,2017-12-15,up,15.16,17.74,196,17.018
457,000555,2017-12-15,2017-12-17,down,17.74,15.3,2,-13.754
285,000606,2016-01-04,2017-11-30,down,18.7,8.41,696,-55.027
286,000606,2017-11-30,2017-12-04,up,8.41,9.44,4,12.247
287,000606,2017-12-04,2017-12-06,down,9.44,8.93,2,-5.403
288,000606,2017-12-06,2017-12-12,up,8.93,9.4,6,5.263
