code cost share bottom escape
sh 3200 0 3200 3200
603458 77.91 100 71.70 1
603501 33.37 100 31.31 1
603648 30.03 100 27.18 1
002905 44.47 100 42.63 1
603533 57.44 100 56.00 1
002903 56.58 100 53.50 1
603725 23.60 100 23.20 1
603388 23.40 100 22.00 1
603079 53.34 100 50.20 1
603181 28.55 100 27.00 1
002867 30.08 100 29.10 1
002892 45.18 100 43.50 1
002872 35.20 100 34.54 1
603683 31.36 100 30.88 1
603136 50.15 100 48.17 1
603063 20.82 100 20.22 1
601108 22.79 100 20.88 1
603767 17.91 100 17.49 1
002902 46.70 100 44.10 1
603103 35.42 100 34.68 1
603277 23.25 100 23.00 1
603367 25.38 100 23.68 1
603603 43.32 100 43.00 1
603316 16.72 100 16.52 1
002898 25.08 100 25.08 1
